battery_id,brand,type,capacity_ah,voltage,derating_factor,price_NGN
Techfine_12V_240Ah_843,Techfine,Tubular,240.0,12.0,0.82,334678
Techfine_24V_30Ah_844,Techfine,LiFePO4,30.0,24.0,0.83,175288
Exulted_12V_290Ah_845,Exulted,Tubular,290.0,12.0,0.84,842133
Multipower_12V_60Ah_846,Multipower,LiFePO4,60.0,12.0,0.84,92551
CWorth_12V_190Ah_847,CWorth,Gel,190.0,12.0,0.85,93223
Multipower_24V_70Ah_848,Multipower,Gel,70.0,24.0,0.84,101931
Blue Carbon_48V_170Ah_849,Blue Carbon,Tubular,170.0,48.0,0.85,75713
BSL_24V_110Ah_850,BSL,AGM,110.0,24.0,0.84,346213
BYD_24V_90Ah_851,BYD,LiFePO4,90.0,24.0,0.84,547494
Luminous_24V_230Ah_852,Luminous,LiFePO4,230.0,24.0,0.85,233936
Growatt_12V_280Ah_853,Growatt,LiFePO4,280.0,12.0,0.82,255550
Techfine_48V_280Ah_854,Techfine,Gel,280.0,48.0,0.84,354520
BYD_24V_110Ah_855,BYD,Tubular,110.0,24.0,0.84,624599
Techfine_48V_40Ah_856,Techfine,Tubular,40.0,48.0,0.82,302210
CWorth_48V_60Ah_857,CWorth,LiFePO4,60.0,48.0,0.84,94096
Felicity_12V_30Ah_858,Felicity,Gel,30.0,12.0,0.84,94679
Growatt_12V_190Ah_859,Growatt,AGM,190.0,12.0,0.84,250783
CWorth_24V_50Ah_860,CWorth,Tubular,50.0,24.0,0.83,118220
BSL_48V_60Ah_861,BSL,LiFePO4,60.0,48.0,0.83,337577
Multipower_24V_100Ah_862,Multipower,AGM,100.0,24.0,0.82,94556
Blue Carbon_24V_280Ah_863,Blue Carbon,AGM,280.0,24.0,0.83,76027
Exulted_24V_130Ah_864,Exulted,LiFePO4,130.0,24.0,0.84,682716
Multipower_12V_70Ah_865,Multipower,AGM,70.0,12.0,0.83,100880
Pylontech_48V_110Ah_866,Pylontech,LiFePO4,110.0,48.0,0.84,560267
Blue Carbon_12V_100Ah_867,Blue Carbon,AGM,100.0,12.0,0.82,70914
Pylontech_48V_90Ah_868,Pylontech,LiFePO4,90.0,48.0,0.84,421843
Pylontech_24V_80Ah_869,Pylontech,LiFePO4,80.0,24.0,0.85,492296
Amaron Quanta_48V_80Ah_870,Amaron Quanta,AGM,80.0,48.0,0.82,655988
Techfine_48V_40Ah_871,Techfine,LiFePO4,40.0,48.0,0.83,330073
Exulted_12V_70Ah_872,Exulted,Tubular,70.0,12.0,0.84,443482
Amaron Quanta_12V_220Ah_873,Amaron Quanta,AGM,220.0,12.0,0.83,716517
Felicity_24V_30Ah_874,Felicity,LiFePO4,30.0,24.0,0.83,91621
Blue Carbon_48V_240Ah_875,Blue Carbon,Gel,240.0,48.0,0.82,140708
Blue Carbon_24V_110Ah_876,Blue Carbon,Tubular,110.0,24.0,0.84,137728
Luminous_12V_240Ah_877,Luminous,Gel,240.0,12.0,0.83,385417
Growatt_24V_40Ah_878,Growatt,LiFePO4,40.0,24.0,0.83,399745
Genus_24V_270Ah_879,Genus,LiFePO4,270.0,24.0,0.85,574535
Growatt_48V_210Ah_880,Growatt,AGM,210.0,48.0,0.84,335907
Techfine_24V_80Ah_881,Techfine,Gel,80.0,24.0,0.85,183004
Blue Carbon_48V_50Ah_882,Blue Carbon,LiFePO4,50.0,48.0,0.83,57601
Blue Carbon_12V_100Ah_883,Blue Carbon,Tubular,100.0,12.0,0.83,120356
Techfine_12V_80Ah_884,Techfine,AGM,80.0,12.0,0.82,262982
CWorth_12V_260Ah_885,CWorth,LiFePO4,260.0,12.0,0.85,93319
CWorth_12V_70Ah_886,CWorth,AGM,70.0,12.0,0.84,71433
Growatt_12V_160Ah_887,Growatt,AGM,160.0,12.0,0.83,222583
Techfine_12V_130Ah_888,Techfine,Gel,130.0,12.0,0.85,167370
Growatt_12V_30Ah_889,Growatt,AGM,30.0,12.0,0.83,155291
CWorth_12V_300Ah_890,CWorth,Gel,300.0,12.0,0.85,124687
Felicity_12V_160Ah_891,Felicity,Tubular,160.0,12.0,0.84,93935
Exulted_24V_20Ah_892,Exulted,Gel,20.0,24.0,0.83,630097
Luminous_48V_60Ah_893,Luminous,LiFePO4,60.0,48.0,0.83,384817
Felicity_24V_190Ah_894,Felicity,Gel,190.0,24.0,0.85,76863
Techfine_24V_50Ah_895,Techfine,Gel,50.0,24.0,0.85,234354
Blue Carbon_24V_210Ah_896,Blue Carbon,Gel,210.0,24.0,0.85,107519
BSL_24V_130Ah_897,BSL,Gel,130.0,24.0,0.84,284999
Multipower_48V_100Ah_898,Multipower,Gel,100.0,48.0,0.84,70868
Luminous_12V_20Ah_899,Luminous,Gel,20.0,12.0,0.83,209219
Genus_48V_90Ah_900,Genus,AGM,90.0,48.0,0.82,731263
CWorth_24V_290Ah_901,CWorth,AGM,290.0,24.0,0.85,85759
Growatt_48V_250Ah_902,Growatt,AGM,250.0,48.0,0.84,305058
Growatt_24V_260Ah_903,Growatt,Tubular,260.0,24.0,0.83,250371
Growatt_12V_150Ah_904,Growatt,Gel,150.0,12.0,0.85,370917
BYD_12V_80Ah_905,BYD,Tubular,80.0,12.0,0.84,878911
Luminous_48V_160Ah_906,Luminous,LiFePO4,160.0,48.0,0.83,199773
CWorth_12V_200Ah_907,CWorth,LiFePO4,200.0,12.0,0.82,107357
Felicity_24V_170Ah_908,Felicity,AGM,170.0,24.0,0.83,149174
Luminous_24V_210Ah_909,Luminous,Gel,210.0,24.0,0.84,254792
Multipower_48V_260Ah_910,Multipower,AGM,260.0,48.0,0.84,104139
CWorth_48V_130Ah_911,CWorth,Gel,130.0,48.0,0.85,128466
Pylontech_24V_230Ah_912,Pylontech,Tubular,230.0,24.0,0.82,478631
Pylontech_48V_260Ah_913,Pylontech,Tubular,260.0,48.0,0.82,467659
BSL_48V_210Ah_914,BSL,Tubular,210.0,48.0,0.84,195605
BSL_48V_120Ah_915,BSL,AGM,120.0,48.0,0.85,286159
Exulted_12V_50Ah_916,Exulted,AGM,50.0,12.0,0.84,866360
Felicity_24V_20Ah_917,Felicity,Tubular,20.0,24.0,0.84,147752
Felicity_12V_30Ah_918,Felicity,Tubular,30.0,12.0,0.83,86175
Felicity_48V_180Ah_919,Felicity,Gel,180.0,48.0,0.84,149674
Felicity_12V_300Ah_920,Felicity,Tubular,300.0,12.0,0.83,65567
Exulted_24V_180Ah_921,Exulted,Gel,180.0,24.0,0.85,522569
BSL_48V_250Ah_922,BSL,Tubular,250.0,48.0,0.83,172024
Luminous_24V_210Ah_923,Luminous,LiFePO4,210.0,24.0,0.83,328815
Blue Carbon_48V_220Ah_924,Blue Carbon,Tubular,220.0,48.0,0.84,58482
Felicity_24V_130Ah_925,Felicity,AGM,130.0,24.0,0.83,65597
Growatt_24V_90Ah_926,Growatt,Gel,90.0,24.0,0.82,268448
Multipower_24V_190Ah_927,Multipower,LiFePO4,190.0,24.0,0.85,75990
BSL_48V_270Ah_928,BSL,LiFePO4,270.0,48.0,0.82,298317
Blue Carbon_24V_150Ah_929,Blue Carbon,Gel,150.0,24.0,0.84,121564
Luminous_48V_130Ah_930,Luminous,AGM,130.0,48.0,0.85,361829
Blue Carbon_24V_250Ah_931,Blue Carbon,Gel,250.0,24.0,0.82,111209
CWorth_12V_260Ah_932,CWorth,AGM,260.0,12.0,0.84,108942
Multipower_12V_140Ah_933,Multipower,Gel,140.0,12.0,0.83,141385
Multipower_48V_90Ah_934,Multipower,LiFePO4,90.0,48.0,0.84,96731
Techfine_24V_190Ah_935,Techfine,Gel,190.0,24.0,0.85,208493
BYD_12V_20Ah_936,BYD,Tubular,20.0,12.0,0.85,624021
Genus_12V_240Ah_937,Genus,Gel,240.0,12.0,0.82,801199
Techfine_12V_40Ah_938,Techfine,LiFePO4,40.0,12.0,0.85,377852
Luminous_12V_300Ah_939,Luminous,AGM,300.0,12.0,0.84,159846
Blue Carbon_24V_230Ah_940,Blue Carbon,AGM,230.0,24.0,0.83,132620
BSL_48V_70Ah_941,BSL,Tubular,70.0,48.0,0.85,328479
Luminous_48V_290Ah_942,Luminous,LiFePO4,290.0,48.0,0.83,151542
BSL_24V_70Ah_943,BSL,LiFePO4,70.0,24.0,0.85,256853
Growatt_48V_140Ah_944,Growatt,Gel,140.0,48.0,0.85,304839
CWorth_24V_110Ah_945,CWorth,LiFePO4,110.0,24.0,0.83,64507
Techfine_12V_50Ah_946,Techfine,AGM,50.0,12.0,0.83,347418
CWorth_12V_270Ah_947,CWorth,Tubular,270.0,12.0,0.84,113619
CWorth_48V_140Ah_948,CWorth,AGM,140.0,48.0,0.84,141840
Blue Carbon_12V_60Ah_949,Blue Carbon,AGM,60.0,12.0,0.83,112230
BSL_24V_80Ah_950,BSL,Tubular,80.0,24.0,0.83,391959
Felicity_24V_240Ah_951,Felicity,AGM,240.0,24.0,0.85,68981
BSL_24V_130Ah_952,BSL,Gel,130.0,24.0,0.84,245761
Felicity_12V_150Ah_953,Felicity,Gel,150.0,12.0,0.85,88664
Techfine_48V_200Ah_954,Techfine,Gel,200.0,48.0,0.82,185759
Multipower_12V_60Ah_955,Multipower,AGM,60.0,12.0,0.85,111156
Techfine_24V_220Ah_956,Techfine,AGM,220.0,24.0,0.85,248267
Luminous_12V_140Ah_957,Luminous,Tubular,140.0,12.0,0.85,158020
Luminous_48V_240Ah_958,Luminous,Tubular,240.0,48.0,0.84,185181
Growatt_24V_120Ah_959,Growatt,Tubular,120.0,24.0,0.85,277683
Exulted_12V_230Ah_960,Exulted,AGM,230.0,12.0,0.82,797260
Growatt_12V_170Ah_961,Growatt,Tubular,170.0,12.0,0.83,181946
Felicity_24V_110Ah_962,Felicity,Tubular,110.0,24.0,0.83,140714
Growatt_24V_250Ah_963,Growatt,LiFePO4,250.0,24.0,0.84,170617
CWorth_48V_40Ah_964,CWorth,Gel,40.0,48.0,0.85,131734
BSL_12V_210Ah_965,BSL,Gel,210.0,12.0,0.84,235021
BSL_48V_130Ah_966,BSL,Gel,130.0,48.0,0.82,397073
Felicity_24V_180Ah_967,Felicity,Gel,180.0,24.0,0.82,70695
Pylontech_12V_20Ah_968,Pylontech,LiFePO4,20.0,12.0,0.82,597437
Blue Carbon_24V_20Ah_969,Blue Carbon,AGM,20.0,24.0,0.82,137495
Growatt_48V_270Ah_970,Growatt,LiFePO4,270.0,48.0,0.84,153917
Luminous_12V_280Ah_971,Luminous,Gel,280.0,12.0,0.83,263478
Luminous_48V_260Ah_972,Luminous,LiFePO4,260.0,48.0,0.84,253452
Multipower_12V_170Ah_973,Multipower,LiFePO4,170.0,12.0,0.84,104529
Multipower_48V_220Ah_974,Multipower,Gel,220.0,48.0,0.84,98964
Blue Carbon_12V_250Ah_975,Blue Carbon,AGM,250.0,12.0,0.82,121186
Blue Carbon_48V_270Ah_976,Blue Carbon,Gel,270.0,48.0,0.82,143998
BSL_48V_70Ah_977,BSL,AGM,70.0,48.0,0.82,367391
Felicity_24V_70Ah_978,Felicity,LiFePO4,70.0,24.0,0.83,52800
Exulted_24V_220Ah_979,Exulted,Gel,220.0,24.0,0.82,485456
CWorth_12V_290Ah_980,CWorth,AGM,290.0,12.0,0.82,77459
Multipower_24V_160Ah_981,Multipower,AGM,160.0,24.0,0.82,65812
Amaron Quanta_24V_100Ah_982,Amaron Quanta,Gel,100.0,24.0,0.83,535055
Blue Carbon_24V_40Ah_983,Blue Carbon,Tubular,40.0,24.0,0.84,56263
CWorth_24V_180Ah_984,CWorth,Tubular,180.0,24.0,0.83,130716
Multipower_12V_290Ah_985,Multipower,Tubular,290.0,12.0,0.85,148790
Blue Carbon_48V_20Ah_986,Blue Carbon,AGM,20.0,48.0,0.82,84781
BSL_48V_290Ah_987,BSL,LiFePO4,290.0,48.0,0.84,376500
Techfine_12V_180Ah_988,Techfine,AGM,180.0,12.0,0.85,343027
Pylontech_12V_60Ah_989,Pylontech,AGM,60.0,12.0,0.83,414819
Blue Carbon_48V_90Ah_990,Blue Carbon,LiFePO4,90.0,48.0,0.85,129494
CWorth_24V_200Ah_991,CWorth,Tubular,200.0,24.0,0.83,78371
Growatt_48V_20Ah_992,Growatt,AGM,20.0,48.0,0.83,302102
Amaron Quanta_48V_270Ah_993,Amaron Quanta,LiFePO4,270.0,48.0,0.83,417107
Amaron Quanta_12V_200Ah_994,Amaron Quanta,AGM,200.0,12.0,0.84,745855
Blue Carbon_12V_240Ah_995,Blue Carbon,LiFePO4,240.0,12.0,0.83,101153
CWorth_48V_100Ah_996,CWorth,Gel,100.0,48.0,0.82,118281
BSL_24V_40Ah_997,BSL,LiFePO4,40.0,24.0,0.84,222835
Techfine_48V_200Ah_998,Techfine,LiFePO4,200.0,48.0,0.85,208677
Techfine_24V_120Ah_999,Techfine,LiFePO4,120.0,24.0,0.84,161237
Pylontech_12V_20Ah_1000,Pylontech,Gel,20.0,12.0,0.84,819380
Blue Carbon_12V_70Ah_1001,Blue Carbon,Tubular,70.0,12.0,0.85,148189
Luminous_12V_230Ah_1002,Luminous,Tubular,230.0,12.0,0.83,285760
BSL_48V_220Ah_1003,BSL,Tubular,220.0,48.0,0.82,197477
Multipower_48V_140Ah_1004,Multipower,LiFePO4,140.0,48.0,0.83,57559
Felicity_24V_120Ah_1005,Felicity,Gel,120.0,24.0,0.84,79708
Blue Carbon_48V_170Ah_1006,Blue Carbon,Tubular,170.0,48.0,0.82,88970
Blue Carbon_24V_130Ah_1007,Blue Carbon,AGM,130.0,24.0,0.84,104121
Felicity_12V_50Ah_1008,Felicity,Tubular,50.0,12.0,0.84,116766
Growatt_24V_80Ah_1009,Growatt,LiFePO4,80.0,24.0,0.82,224022
Luminous_12V_160Ah_1010,Luminous,LiFePO4,160.0,12.0,0.84,393730
Felicity_48V_250Ah_1011,Felicity,Tubular,250.0,48.0,0.82,107642
BSL_24V_70Ah_1012,BSL,AGM,70.0,24.0,0.84,221179
Blue Carbon_24V_250Ah_1013,Blue Carbon,Gel,250.0,24.0,0.85,64632
Exulted_12V_30Ah_1014,Exulted,LiFePO4,30.0,12.0,0.84,601463
BSL_48V_170Ah_1015,BSL,Gel,170.0,48.0,0.85,318439
Blue Carbon_48V_190Ah_1016,Blue Carbon,AGM,190.0,48.0,0.84,62828
Techfine_24V_150Ah_1017,Techfine,Tubular,150.0,24.0,0.83,361825
Techfine_12V_80Ah_1018,Techfine,Tubular,80.0,12.0,0.82,252001
Blue Carbon_12V_290Ah_1019,Blue Carbon,LiFePO4,290.0,12.0,0.84,57389
Felicity_48V_30Ah_1020,Felicity,AGM,30.0,48.0,0.83,103807
BSL_24V_70Ah_1021,BSL,Gel,70.0,24.0,0.84,274112
Multipower_48V_60Ah_1022,Multipower,AGM,60.0,48.0,0.83,55852
Techfine_48V_160Ah_1023,Techfine,Gel,160.0,48.0,0.84,219677
BYD_24V_120Ah_1024,BYD,AGM,120.0,24.0,0.85,783273
Techfine_48V_170Ah_1025,Techfine,AGM,170.0,48.0,0.82,361212
Blue Carbon_24V_280Ah_1026,Blue Carbon,LiFePO4,280.0,24.0,0.84,56113
Multipower_24V_150Ah_1027,Multipower,Tubular,150.0,24.0,0.83,64170
CWorth_24V_130Ah_1028,CWorth,Tubular,130.0,24.0,0.83,87720
Blue Carbon_24V_290Ah_1029,Blue Carbon,AGM,290.0,24.0,0.84,65727
BYD_24V_240Ah_1030,BYD,LiFePO4,240.0,24.0,0.82,732673
Growatt_24V_150Ah_1031,Growatt,Tubular,150.0,24.0,0.83,309115
Blue Carbon_24V_240Ah_1032,Blue Carbon,AGM,240.0,24.0,0.83,80745
Blue Carbon_12V_180Ah_1033,Blue Carbon,LiFePO4,180.0,12.0,0.83,99293
Luminous_24V_80Ah_1034,Luminous,AGM,80.0,24.0,0.84,244709
Pylontech_24V_190Ah_1035,Pylontech,Tubular,190.0,24.0,0.85,801125
Exulted_48V_110Ah_1036,Exulted,Gel,110.0,48.0,0.82,782776
CWorth_24V_120Ah_1037,CWorth,Tubular,120.0,24.0,0.83,94128
Blue Carbon_12V_110Ah_1038,Blue Carbon,LiFePO4,110.0,12.0,0.83,113629
Genus_24V_200Ah_1039,Genus,Tubular,200.0,24.0,0.83,567936
Growatt_48V_60Ah_1040,Growatt,AGM,60.0,48.0,0.83,198664
Felicity_24V_100Ah_1041,Felicity,LiFePO4,100.0,24.0,0.82,71524
Felicity_48V_110Ah_1042,Felicity,AGM,110.0,48.0,0.85,76906
Felicity_48V_20Ah_1043,Felicity,Gel,20.0,48.0,0.84,98381
Multipower_24V_120Ah_1044,Multipower,Gel,120.0,24.0,0.84,101072
Growatt_48V_180Ah_1045,Growatt,AGM,180.0,48.0,0.83,349162
Blue Carbon_12V_60Ah_1046,Blue Carbon,LiFePO4,60.0,12.0,0.83,53816
Growatt_12V_170Ah_1047,Growatt,Gel,170.0,12.0,0.83,387965
BYD_48V_250Ah_1048,BYD,AGM,250.0,48.0,0.85,494954
BYD_24V_90Ah_1049,BYD,Gel,90.0,24.0,0.83,766142
BSL_24V_270Ah_1050,BSL,Gel,270.0,24.0,0.83,368596
Exulted_48V_30Ah_1051,Exulted,LiFePO4,30.0,48.0,0.84,515253
Genus_12V_280Ah_1052,Genus,Tubular,280.0,12.0,0.83,807191
Techfine_12V_170Ah_1053,Techfine,AGM,170.0,12.0,0.85,213811
CWorth_12V_280Ah_1054,CWorth,AGM,280.0,12.0,0.83,93155
Pylontech_48V_60Ah_1055,Pylontech,Tubular,60.0,48.0,0.83,442198
CWorth_48V_190Ah_1056,CWorth,Gel,190.0,48.0,0.82,116406
Pylontech_12V_100Ah_1057,Pylontech,AGM,100.0,12.0,0.82,637423
Felicity_12V_110Ah_1058,Felicity,Tubular,110.0,12.0,0.83,88939
Multipower_24V_210Ah_1059,Multipower,AGM,210.0,24.0,0.83,91656
Multipower_24V_170Ah_1060,Multipower,AGM,170.0,24.0,0.84,84155
Multipower_24V_160Ah_1061,Multipower,Gel,160.0,24.0,0.84,105263
Luminous_48V_90Ah_1062,Luminous,Tubular,90.0,48.0,0.84,226202
Exulted_12V_120Ah_1063,Exulted,LiFePO4,120.0,12.0,0.83,845160
BYD_12V_90Ah_1064,BYD,Gel,90.0,12.0,0.83,737063
CWorth_24V_280Ah_1065,CWorth,AGM,280.0,24.0,0.84,146337
Amaron Quanta_48V_110Ah_1066,Amaron Quanta,LiFePO4,110.0,48.0,0.82,538081
Luminous_24V_300Ah_1067,Luminous,Gel,300.0,24.0,0.82,185881
Blue Carbon_24V_120Ah_1068,Blue Carbon,AGM,120.0,24.0,0.84,78371
Growatt_48V_300Ah_1069,Growatt,LiFePO4,300.0,48.0,0.83,154817
BYD_12V_220Ah_1070,BYD,Gel,220.0,12.0,0.82,896037
Felicity_12V_170Ah_1071,Felicity,LiFePO4,170.0,12.0,0.85,101320
BSL_12V_210Ah_1072,BSL,AGM,210.0,12.0,0.84,367921
Exulted_12V_220Ah_1073,Exulted,Tubular,220.0,12.0,0.82,716997
BSL_24V_180Ah_1074,BSL,AGM,180.0,24.0,0.85,164733
Techfine_24V_120Ah_1075,Techfine,AGM,120.0,24.0,0.85,156434
Techfine_24V_100Ah_1076,Techfine,LiFePO4,100.0,24.0,0.82,398533
Multipower_48V_250Ah_1077,Multipower,AGM,250.0,48.0,0.84,112265
Growatt_12V_110Ah_1078,Growatt,LiFePO4,110.0,12.0,0.84,234841
Blue Carbon_24V_250Ah_1079,Blue Carbon,Gel,250.0,24.0,0.82,132196
Felicity_48V_140Ah_1080,Felicity,AGM,140.0,48.0,0.83,90751
Growatt_48V_260Ah_1081,Growatt,Tubular,260.0,48.0,0.82,219568
Growatt_48V_270Ah_1082,Growatt,Tubular,270.0,48.0,0.82,150566
BYD_48V_200Ah_1083,BYD,Tubular,200.0,48.0,0.82,579503
Luminous_24V_180Ah_1084,Luminous,Gel,180.0,24.0,0.83,181095
Felicity_12V_60Ah_1085,Felicity,Tubular,60.0,12.0,0.82,75368
CWorth_24V_230Ah_1086,CWorth,LiFePO4,230.0,24.0,0.84,128037
Blue Carbon_24V_110Ah_1087,Blue Carbon,Gel,110.0,24.0,0.84,96587
Multipower_24V_190Ah_1088,Multipower,Tubular,190.0,24.0,0.82,84925
Felicity_24V_60Ah_1089,Felicity,Gel,60.0,24.0,0.84,123437
Exulted_48V_220Ah_1090,Exulted,Tubular,220.0,48.0,0.85,417643
Amaron Quanta_48V_50Ah_1091,Amaron Quanta,LiFePO4,50.0,48.0,0.82,813711
BYD_12V_40Ah_1092,BYD,LiFePO4,40.0,12.0,0.82,494554
Growatt_24V_30Ah_1093,Growatt,LiFePO4,30.0,24.0,0.85,242714
Techfine_48V_300Ah_1094,Techfine,AGM,300.0,48.0,0.85,171321
Blue Carbon_48V_30Ah_1095,Blue Carbon,AGM,30.0,48.0,0.83,136892
Luminous_24V_40Ah_1096,Luminous,AGM,40.0,24.0,0.83,276916
Growatt_12V_170Ah_1097,Growatt,AGM,170.0,12.0,0.84,153193
CWorth_24V_30Ah_1098,CWorth,Gel,30.0,24.0,0.83,56165
Pylontech_12V_150Ah_1099,Pylontech,LiFePO4,150.0,12.0,0.85,487535
Multipower_48V_250Ah_1100,Multipower,Tubular,250.0,48.0,0.82,70451
Blue Carbon_48V_160Ah_1101,Blue Carbon,Gel,160.0,48.0,0.82,119755
Felicity_12V_120Ah_1102,Felicity,AGM,120.0,12.0,0.83,143717
Multipower_48V_50Ah_1103,Multipower,Tubular,50.0,48.0,0.83,108825
Blue Carbon_24V_20Ah_1104,Blue Carbon,LiFePO4,20.0,24.0,0.84,138766
Multipower_48V_120Ah_1105,Multipower,Tubular,120.0,48.0,0.84,130903
Techfine_24V_250Ah_1106,Techfine,Gel,250.0,24.0,0.85,202274
Luminous_48V_280Ah_1107,Luminous,AGM,280.0,48.0,0.84,185922
CWorth_24V_280Ah_1108,CWorth,AGM,280.0,24.0,0.84,114128
Pylontech_48V_220Ah_1109,Pylontech,Tubular,220.0,48.0,0.84,578340
Blue Carbon_48V_210Ah_1110,Blue Carbon,Tubular,210.0,48.0,0.83,95655
Blue Carbon_48V_170Ah_1111,Blue Carbon,Tubular,170.0,48.0,0.83,98882
BYD_48V_120Ah_1112,BYD,Tubular,120.0,48.0,0.82,605780
Techfine_48V_120Ah_1113,Techfine,AGM,120.0,48.0,0.84,258933
Growatt_12V_100Ah_1114,Growatt,LiFePO4,100.0,12.0,0.84,327113
Multipower_48V_130Ah_1115,Multipower,Tubular,130.0,48.0,0.84,69510
Techfine_48V_50Ah_1116,Techfine,LiFePO4,50.0,48.0,0.84,184283
CWorth_48V_160Ah_1117,CWorth,Gel,160.0,48.0,0.84,111430
Techfine_48V_300Ah_1118,Techfine,Gel,300.0,48.0,0.83,310729
BYD_48V_160Ah_1119,BYD,LiFePO4,160.0,48.0,0.85,689949
Felicity_48V_50Ah_1120,Felicity,AGM,50.0,48.0,0.85,79955
Amaron Quanta_12V_20Ah_1121,Amaron Quanta,Gel,20.0,12.0,0.85,804555
Pylontech_24V_270Ah_1122,Pylontech,AGM,270.0,24.0,0.84,524778
Techfine_24V_120Ah_1123,Techfine,Gel,120.0,24.0,0.83,380278
Growatt_24V_190Ah_1124,Growatt,LiFePO4,190.0,24.0,0.82,214691
Luminous_12V_160Ah_1125,Luminous,LiFePO4,160.0,12.0,0.84,308227
Techfine_24V_160Ah_1126,Techfine,AGM,160.0,24.0,0.84,296404
Genus_24V_250Ah_1127,Genus,Tubular,250.0,24.0,0.83,808160
Felicity_12V_130Ah_1128,Felicity,Gel,130.0,12.0,0.83,110397
Felicity_12V_40Ah_1129,Felicity,AGM,40.0,12.0,0.84,85035
Felicity_24V_240Ah_1130,Felicity,Gel,240.0,24.0,0.83,79866
Techfine_12V_220Ah_1131,Techfine,LiFePO4,220.0,12.0,0.82,224133
BYD_24V_80Ah_1132,BYD,Tubular,80.0,24.0,0.83,759543
Pylontech_24V_180Ah_1133,Pylontech,LiFePO4,180.0,24.0,0.82,555918
Growatt_12V_190Ah_1134,Growatt,AGM,190.0,12.0,0.83,323648
Multipower_12V_80Ah_1135,Multipower,Gel,80.0,12.0,0.83,126432
Exulted_48V_220Ah_1136,Exulted,AGM,220.0,48.0,0.84,643382
Techfine_48V_270Ah_1137,Techfine,LiFePO4,270.0,48.0,0.82,329526
BYD_24V_210Ah_1138,BYD,Tubular,210.0,24.0,0.84,631500
BSL_12V_150Ah_1139,BSL,Gel,150.0,12.0,0.84,394230
Growatt_24V_220Ah_1140,Growatt,Tubular,220.0,24.0,0.84,376804
Blue Carbon_12V_70Ah_1141,Blue Carbon,Tubular,70.0,12.0,0.83,111783
CWorth_24V_80Ah_1142,CWorth,Tubular,80.0,24.0,0.84,55104
Amaron Quanta_48V_70Ah_1143,Amaron Quanta,Gel,70.0,48.0,0.85,694748
Multipower_24V_80Ah_1144,Multipower,AGM,80.0,24.0,0.84,135641
Pylontech_12V_240Ah_1145,Pylontech,Tubular,240.0,12.0,0.83,576394
BSL_12V_300Ah_1146,BSL,LiFePO4,300.0,12.0,0.83,247621
Blue Carbon_24V_40Ah_1147,Blue Carbon,AGM,40.0,24.0,0.84,58991
CWorth_12V_230Ah_1148,CWorth,Tubular,230.0,12.0,0.83,102815
Growatt_48V_90Ah_1149,Growatt,Gel,90.0,48.0,0.83,369676
Multipower_24V_150Ah_1150,Multipower,LiFePO4,150.0,24.0,0.83,146153
Growatt_24V_260Ah_1151,Growatt,Gel,260.0,24.0,0.83,274085
Luminous_12V_290Ah_1152,Luminous,AGM,290.0,12.0,0.83,391078
Techfine_48V_280Ah_1153,Techfine,Gel,280.0,48.0,0.83,185931
BYD_48V_130Ah_1154,BYD,LiFePO4,130.0,48.0,0.82,692708
BSL_48V_240Ah_1155,BSL,Gel,240.0,48.0,0.82,163404
Luminous_24V_240Ah_1156,Luminous,Tubular,240.0,24.0,0.83,382308
Felicity_24V_210Ah_1157,Felicity,Tubular,210.0,24.0,0.84,73648
Luminous_24V_100Ah_1158,Luminous,Tubular,100.0,24.0,0.83,315653
BSL_12V_140Ah_1159,BSL,AGM,140.0,12.0,0.83,220066
Growatt_12V_120Ah_1160,Growatt,Tubular,120.0,12.0,0.83,316535
Multipower_12V_250Ah_1161,Multipower,Tubular,250.0,12.0,0.82,71758
Techfine_48V_230Ah_1162,Techfine,AGM,230.0,48.0,0.84,299558
BSL_48V_260Ah_1163,BSL,Gel,260.0,48.0,0.84,294341
Blue Carbon_48V_270Ah_1164,Blue Carbon,Gel,270.0,48.0,0.84,134365
BSL_24V_40Ah_1165,BSL,Gel,40.0,24.0,0.82,353425
Blue Carbon_12V_260Ah_1166,Blue Carbon,AGM,260.0,12.0,0.84,117028
Felicity_48V_250Ah_1167,Felicity,Tubular,250.0,48.0,0.83,142058
Exulted_48V_280Ah_1168,Exulted,AGM,280.0,48.0,0.82,645949
Multipower_48V_110Ah_1169,Multipower,Gel,110.0,48.0,0.83,56951
Luminous_48V_60Ah_1170,Luminous,Tubular,60.0,48.0,0.83,387860
Multipower_24V_150Ah_1171,Multipower,Tubular,150.0,24.0,0.84,149214
Exulted_12V_300Ah_1172,Exulted,LiFePO4,300.0,12.0,0.83,619212
Amaron Quanta_12V_220Ah_1173,Amaron Quanta,AGM,220.0,12.0,0.83,425377
Felicity_24V_280Ah_1174,Felicity,LiFePO4,280.0,24.0,0.83,117933
CWorth_48V_40Ah_1175,CWorth,Gel,40.0,48.0,0.82,55164
Luminous_24V_170Ah_1176,Luminous,Gel,170.0,24.0,0.85,381618
Exulted_48V_280Ah_1177,Exulted,Gel,280.0,48.0,0.84,607549
Amaron Quanta_24V_40Ah_1178,Amaron Quanta,Gel,40.0,24.0,0.83,875793
Exulted_48V_220Ah_1179,Exulted,Tubular,220.0,48.0,0.84,622135
Felicity_12V_130Ah_1180,Felicity,Gel,130.0,12.0,0.82,82290
