inverter_id,brand,rated_power_w,voltage_input,voltage_output,mode,derating_factor,price_NGN
SMA_19850W_787,SMA,19850.0,48.0,220.0,Battery-Based,0.89,2455951
Blue Gate_19300W_788,Blue Gate,19300.0,12.0,220.0,Grid-Tie,0.91,850164
Victron Energy_18700W_789,Victron Energy,18700.0,96.0,220.0,Hybrid,0.87,2234234
Felicity Solar_12650W_790,Felicity Solar,12650.0,24.0,220.0,Multifunction,0.88,503048
Felicity Solar_2000W_791,Felicity Solar,2000.0,24.0,220.0,Grid-Tie,0.9,93414
SMA_8200W_792,SMA,8200.0,12.0,220.0,Grid-Tie,0.88,1094167
Kartel Solar_1300W_793,Kartel Solar,1300.0,96.0,220.0,Grid-Tie,0.91,72334
Sungrow_7900W_794,Sungrow,7900.0,240.0,220.0,Battery-Based,0.87,608308
Blue Gate_7950W_795,Blue Gate,7950.0,48.0,220.0,Multifunction,0.92,296386
Kartel Solar_18300W_796,Kartel Solar,18300.0,96.0,220.0,Battery-Based,0.91,566644
Sungrow_18850W_797,Sungrow,18850.0,240.0,220.0,Hybrid,0.9,1496143
Fronius_10250W_798,Fronius,10250.0,48.0,220.0,Grid-Tie,0.89,1083013
Blue Gate_17350W_799,Blue Gate,17350.0,96.0,220.0,Multifunction,0.9,705476
Protonix Fortuner_4750W_800,Protonix Fortuner,4750.0,48.0,220.0,Multifunction,0.9,397853
Victron Energy_18200W_801,Victron Energy,18200.0,96.0,220.0,Multifunction,0.91,2382287
Kartel Solar_16350W_802,Kartel Solar,16350.0,96.0,220.0,Multifunction,0.92,906176
Blue Gate_4650W_803,Blue Gate,4650.0,240.0,220.0,Off-Grid,0.91,238118
Protonix Fortuner_6900W_804,Protonix Fortuner,6900.0,24.0,220.0,Battery-Based,0.9,678671
SMA_8400W_805,SMA,8400.0,96.0,220.0,Grid-Tie,0.89,1220515
Growatt_17150W_806,Growatt,17150.0,240.0,220.0,Grid-Tie,0.9,1472835
Protonix Fortuner_9800W_807,Protonix Fortuner,9800.0,24.0,220.0,Off-Grid,0.89,961930
Growatt_8500W_808,Growatt,8500.0,240.0,220.0,Hybrid,0.9,594711
Techfine_950W_809,Techfine,950.0,48.0,220.0,Multifunction,0.91,84409
Huawei_1550W_810,Huawei,1550.0,240.0,220.0,Battery-Based,0.91,210213
Growatt_3800W_811,Growatt,3800.0,48.0,220.0,Grid-Tie,0.88,319812
Blue Gate_6550W_812,Blue Gate,6550.0,240.0,220.0,Grid-Tie,0.91,199514
Victron Energy_16450W_813,Victron Energy,16450.0,96.0,220.0,Battery-Based,0.91,2259816
Techfine_10850W_814,Techfine,10850.0,96.0,220.0,Hybrid,0.92,1054330
Kartel Solar_16150W_815,Kartel Solar,16150.0,240.0,220.0,Off-Grid,0.91,829851
Felicity Solar_18100W_816,Felicity Solar,18100.0,12.0,220.0,Hybrid,0.87,1006874
Blue Gate_8900W_817,Blue Gate,8900.0,48.0,220.0,Hybrid,0.89,425590
Kartel Solar_19100W_818,Kartel Solar,19100.0,48.0,220.0,Grid-Tie,0.92,1089502
Sungrow_19550W_819,Sungrow,19550.0,12.0,220.0,Grid-Tie,0.89,1883467
Growatt_1350W_820,Growatt,1350.0,96.0,220.0,Grid-Tie,0.92,88749
SMA_1550W_821,SMA,1550.0,240.0,220.0,Hybrid,0.88,207559
Fronius_14750W_822,Fronius,14750.0,240.0,220.0,Grid-Tie,0.89,1906345
Fronius_18050W_823,Fronius,18050.0,240.0,220.0,Grid-Tie,0.89,2431358
Growatt_13550W_824,Growatt,13550.0,24.0,220.0,Off-Grid,0.88,1087382
Felicity Solar_13100W_825,Felicity Solar,13100.0,240.0,220.0,Off-Grid,0.92,584787
Techfine_10200W_826,Techfine,10200.0,96.0,220.0,Off-Grid,0.87,783308
Protonix Fortuner_15000W_827,Protonix Fortuner,15000.0,48.0,220.0,Grid-Tie,0.91,930042
PRAG_13350W_828,PRAG,13350.0,24.0,220.0,Battery-Based,0.88,402244
Protonix Fortuner_9200W_829,Protonix Fortuner,9200.0,24.0,220.0,Grid-Tie,0.87,891780
Growatt_5700W_830,Growatt,5700.0,240.0,220.0,Battery-Based,0.91,357945
Kartel Solar_6750W_831,Kartel Solar,6750.0,96.0,220.0,Battery-Based,0.9,365042
Protonix Fortuner_5000W_832,Protonix Fortuner,5000.0,96.0,220.0,Multifunction,0.87,460058
SMA_8150W_833,SMA,8150.0,48.0,220.0,Battery-Based,0.91,858599
Growatt_6950W_834,Growatt,6950.0,96.0,220.0,Off-Grid,0.92,644929
Blue Gate_10300W_835,Blue Gate,10300.0,24.0,220.0,Off-Grid,0.87,321024
Growatt_750W_836,Growatt,750.0,96.0,220.0,Off-Grid,0.89,66749
Sungrow_7450W_837,Sungrow,7450.0,96.0,220.0,Grid-Tie,0.87,535592
Kartel Solar_10800W_838,Kartel Solar,10800.0,240.0,220.0,Battery-Based,0.9,471013
Felicity Solar_3050W_839,Felicity Solar,3050.0,48.0,220.0,Hybrid,0.91,129544
Sungrow_15350W_840,Sungrow,15350.0,12.0,220.0,Grid-Tie,0.91,1164328
Protonix Fortuner_6950W_841,Protonix Fortuner,6950.0,240.0,220.0,Multifunction,0.89,520804
Sungrow_13400W_842,Sungrow,13400.0,240.0,220.0,Grid-Tie,0.87,970638
Felicity Solar_1400W_843,Felicity Solar,1400.0,240.0,220.0,Grid-Tie,0.9,81461
Huawei_11950W_844,Huawei,11950.0,48.0,220.0,Off-Grid,0.91,1478947
Felicity Solar_6350W_845,Felicity Solar,6350.0,24.0,220.0,Off-Grid,0.89,309497
Techfine_7300W_846,Techfine,7300.0,48.0,220.0,Multifunction,0.91,699162
Protonix Fortuner_16300W_847,Protonix Fortuner,16300.0,48.0,220.0,Grid-Tie,0.91,994469
Fronius_6300W_848,Fronius,6300.0,12.0,220.0,Multifunction,0.89,828558
Huawei_4800W_849,Huawei,4800.0,24.0,220.0,Grid-Tie,0.92,570358
Growatt_3950W_850,Growatt,3950.0,24.0,220.0,Multifunction,0.91,389930
Blue Gate_1150W_851,Blue Gate,1150.0,12.0,220.0,Multifunction,0.92,43224
Techfine_2700W_852,Techfine,2700.0,12.0,220.0,Grid-Tie,0.89,180896
Victron Energy_8550W_853,Victron Energy,8550.0,240.0,220.0,Grid-Tie,0.88,918595
PRAG_16300W_854,PRAG,16300.0,24.0,220.0,Grid-Tie,0.92,556496
Protonix Fortuner_17600W_855,Protonix Fortuner,17600.0,96.0,220.0,Grid-Tie,0.92,1739213
Kartel Solar_19900W_856,Kartel Solar,19900.0,96.0,220.0,Off-Grid,0.89,609999
Techfine_6600W_857,Techfine,6600.0,96.0,220.0,Battery-Based,0.91,398529
PRAG_5300W_858,PRAG,5300.0,24.0,220.0,Hybrid,0.9,264454
Felicity Solar_11200W_859,Felicity Solar,11200.0,48.0,220.0,Hybrid,0.89,605159
Kartel Solar_4350W_860,Kartel Solar,4350.0,96.0,220.0,Battery-Based,0.91,236151
Sungrow_12800W_861,Sungrow,12800.0,240.0,220.0,Hybrid,0.91,1238709
SMA_1450W_862,SMA,1450.0,12.0,220.0,Multifunction,0.89,208660
Kartel Solar_5200W_863,Kartel Solar,5200.0,240.0,220.0,Multifunction,0.9,282748
Kartel Solar_10450W_864,Kartel Solar,10450.0,24.0,220.0,Battery-Based,0.87,556362
Blue Gate_13600W_865,Blue Gate,13600.0,240.0,220.0,Battery-Based,0.92,754982
Fronius_8000W_866,Fronius,8000.0,12.0,220.0,Grid-Tie,0.88,958073
Fronius_750W_867,Fronius,750.0,12.0,220.0,Grid-Tie,0.88,79866
Protonix Fortuner_6500W_868,Protonix Fortuner,6500.0,12.0,220.0,Battery-Based,0.9,415271
Huawei_2350W_869,Huawei,2350.0,24.0,220.0,Battery-Based,0.9,256955
Techfine_9050W_870,Techfine,9050.0,240.0,220.0,Grid-Tie,0.91,682192
Kartel Solar_19450W_871,Kartel Solar,19450.0,96.0,220.0,Battery-Based,0.91,1166965
Protonix Fortuner_8950W_872,Protonix Fortuner,8950.0,96.0,220.0,Battery-Based,0.87,859770
Blue Gate_15950W_873,Blue Gate,15950.0,48.0,220.0,Off-Grid,0.92,606985
Huawei_11850W_874,Huawei,11850.0,24.0,220.0,Multifunction,0.9,1344692
Felicity Solar_19000W_875,Felicity Solar,19000.0,12.0,220.0,Off-Grid,0.91,1101901
Protonix Fortuner_18450W_876,Protonix Fortuner,18450.0,96.0,220.0,Off-Grid,0.91,1623314
Victron Energy_13000W_877,Victron Energy,13000.0,240.0,220.0,Grid-Tie,0.88,1550491
Sungrow_7050W_878,Sungrow,7050.0,24.0,220.0,Hybrid,0.88,608905
Felicity Solar_6450W_879,Felicity Solar,6450.0,12.0,220.0,Off-Grid,0.91,350079
Protonix Fortuner_5400W_880,Protonix Fortuner,5400.0,12.0,220.0,Battery-Based,0.88,495608
PRAG_18650W_881,PRAG,18650.0,12.0,220.0,Grid-Tie,0.88,1053873
Huawei_6950W_882,Huawei,6950.0,96.0,220.0,Hybrid,0.92,904282
Growatt_6950W_883,Growatt,6950.0,12.0,220.0,Grid-Tie,0.89,533953
Victron Energy_6150W_884,Victron Energy,6150.0,24.0,220.0,Hybrid,0.91,659060
Blue Gate_14300W_885,Blue Gate,14300.0,48.0,220.0,Off-Grid,0.88,835750
Blue Gate_17750W_886,Blue Gate,17750.0,48.0,220.0,Hybrid,0.87,582379
PRAG_11700W_887,PRAG,11700.0,12.0,220.0,Grid-Tie,0.9,439693
Sungrow_6550W_888,Sungrow,6550.0,12.0,220.0,Off-Grid,0.88,616255
PRAG_12300W_889,PRAG,12300.0,48.0,220.0,Multifunction,0.9,601801
Sungrow_5150W_890,Sungrow,5150.0,240.0,220.0,Battery-Based,0.89,373128
Felicity Solar_14800W_891,Felicity Solar,14800.0,96.0,220.0,Off-Grid,0.89,675518
Protonix Fortuner_14850W_892,Protonix Fortuner,14850.0,96.0,220.0,Hybrid,0.87,943526
Kartel Solar_9450W_893,Kartel Solar,9450.0,12.0,220.0,Grid-Tie,0.87,525740
Protonix Fortuner_7150W_894,Protonix Fortuner,7150.0,48.0,220.0,Off-Grid,0.92,674040
Growatt_2050W_895,Growatt,2050.0,96.0,220.0,Grid-Tie,0.88,195720
Protonix Fortuner_13400W_896,Protonix Fortuner,13400.0,48.0,220.0,Battery-Based,0.9,1083220
Blue Gate_19000W_897,Blue Gate,19000.0,12.0,220.0,Battery-Based,0.91,971923
Blue Gate_9100W_898,Blue Gate,9100.0,48.0,220.0,Grid-Tie,0.9,384695
Techfine_7750W_899,Techfine,7750.0,24.0,220.0,Battery-Based,0.91,614112
Sungrow_16850W_900,Sungrow,16850.0,96.0,220.0,Multifunction,0.88,1675704
PRAG_6050W_901,PRAG,6050.0,240.0,220.0,Off-Grid,0.91,236482
Sungrow_16000W_902,Sungrow,16000.0,48.0,220.0,Multifunction,0.92,1067510
Techfine_10150W_903,Techfine,10150.0,240.0,220.0,Grid-Tie,0.88,610484
Victron Energy_19950W_904,Victron Energy,19950.0,24.0,220.0,Multifunction,0.91,2369786
Sungrow_11300W_905,Sungrow,11300.0,12.0,220.0,Hybrid,0.88,892275
PRAG_18400W_906,PRAG,18400.0,48.0,220.0,Multifunction,0.92,612799
Huawei_6800W_907,Huawei,6800.0,24.0,220.0,Hybrid,0.92,945236
Fronius_6000W_908,Fronius,6000.0,240.0,220.0,Battery-Based,0.88,661323
Kartel Solar_14950W_909,Kartel Solar,14950.0,240.0,220.0,Hybrid,0.91,744574
Huawei_14650W_910,Huawei,14650.0,240.0,220.0,Battery-Based,0.92,1905911
Felicity Solar_18500W_911,Felicity Solar,18500.0,96.0,220.0,Battery-Based,0.88,1036375
Sungrow_3400W_912,Sungrow,3400.0,240.0,220.0,Grid-Tie,0.88,227526
Techfine_6150W_913,Techfine,6150.0,240.0,220.0,Grid-Tie,0.9,418480
Protonix Fortuner_19850W_914,Protonix Fortuner,19850.0,12.0,220.0,Grid-Tie,0.91,1759430
Huawei_6050W_915,Huawei,6050.0,240.0,220.0,Hybrid,0.89,837767
PRAG_10100W_916,PRAG,10100.0,12.0,220.0,Off-Grid,0.91,550683
Kartel Solar_10450W_917,Kartel Solar,10450.0,12.0,220.0,Hybrid,0.91,571169
Sungrow_16050W_918,Sungrow,16050.0,96.0,220.0,Hybrid,0.87,1564787
Sungrow_5300W_919,Sungrow,5300.0,24.0,220.0,Hybrid,0.87,330515
Techfine_10550W_920,Techfine,10550.0,240.0,220.0,Battery-Based,0.88,639079
Felicity Solar_8650W_921,Felicity Solar,8650.0,12.0,220.0,Off-Grid,0.9,333764
SMA_17550W_922,SMA,17550.0,96.0,220.0,Hybrid,0.9,2478425
PRAG_5750W_923,PRAG,5750.0,12.0,220.0,Battery-Based,0.9,204221
Felicity Solar_4000W_924,Felicity Solar,4000.0,12.0,220.0,Off-Grid,0.88,221861
Blue Gate_1300W_925,Blue Gate,1300.0,24.0,220.0,Off-Grid,0.91,66997
Victron Energy_13300W_926,Victron Energy,13300.0,12.0,220.0,Grid-Tie,0.89,1829150
Growatt_8250W_927,Growatt,8250.0,24.0,220.0,Hybrid,0.88,789077
PRAG_3150W_928,PRAG,3150.0,240.0,220.0,Off-Grid,0.87,115922
Growatt_10450W_929,Growatt,10450.0,240.0,220.0,Grid-Tie,0.89,687889
Sungrow_16300W_930,Sungrow,16300.0,12.0,220.0,Grid-Tie,0.88,1111350
PRAG_11700W_931,PRAG,11700.0,96.0,220.0,Off-Grid,0.91,483382
Felicity Solar_2400W_932,Felicity Solar,2400.0,240.0,220.0,Off-Grid,0.87,115523
Huawei_900W_933,Huawei,900.0,96.0,220.0,Battery-Based,0.91,99484
Techfine_13150W_934,Techfine,13150.0,24.0,220.0,Battery-Based,0.87,862737
Growatt_19350W_935,Growatt,19350.0,96.0,220.0,Battery-Based,0.88,1377165
Blue Gate_17650W_936,Blue Gate,17650.0,12.0,220.0,Off-Grid,0.9,723000
SMA_12150W_937,SMA,12150.0,48.0,220.0,Hybrid,0.89,1442547
Growatt_800W_938,Growatt,800.0,12.0,220.0,Hybrid,0.92,53622
PRAG_650W_939,PRAG,650.0,48.0,220.0,Off-Grid,0.87,33116
Growatt_5000W_940,Growatt,5000.0,12.0,220.0,Battery-Based,0.88,354305
PRAG_6300W_941,PRAG,6300.0,48.0,220.0,Multifunction,0.92,254679
Growatt_7800W_942,Growatt,7800.0,24.0,220.0,Grid-Tie,0.89,560188
Fronius_13450W_943,Fronius,13450.0,240.0,220.0,Off-Grid,0.9,1661879
Protonix Fortuner_6850W_944,Protonix Fortuner,6850.0,240.0,220.0,Off-Grid,0.91,466707
Victron Energy_15650W_945,Victron Energy,15650.0,96.0,220.0,Off-Grid,0.9,1992384
PRAG_20000W_946,PRAG,20000.0,240.0,220.0,Multifunction,0.92,1017810
Techfine_18700W_947,Techfine,18700.0,240.0,220.0,Battery-Based,0.92,1335686
Felicity Solar_6350W_948,Felicity Solar,6350.0,12.0,220.0,Battery-Based,0.89,317758
Felicity Solar_750W_949,Felicity Solar,750.0,12.0,220.0,Off-Grid,0.9,28459
Techfine_14300W_950,Techfine,14300.0,48.0,220.0,Multifunction,0.9,1122063
Huawei_15750W_951,Huawei,15750.0,48.0,220.0,Off-Grid,0.92,1700131
Protonix Fortuner_19150W_952,Protonix Fortuner,19150.0,240.0,220.0,Grid-Tie,0.87,1234973
PRAG_13500W_953,PRAG,13500.0,96.0,220.0,Off-Grid,0.88,478699
Protonix Fortuner_8550W_954,Protonix Fortuner,8550.0,24.0,220.0,Hybrid,0.89,813384
Kartel Solar_11700W_955,Kartel Solar,11700.0,96.0,220.0,Off-Grid,0.9,546073
Felicity Solar_8200W_956,Felicity Solar,8200.0,24.0,220.0,Off-Grid,0.89,377588
Growatt_6000W_957,Growatt,6000.0,24.0,220.0,Multifunction,0.91,568294
Fronius_14550W_958,Fronius,14550.0,96.0,220.0,Off-Grid,0.89,1739722
Kartel Solar_19450W_959,Kartel Solar,19450.0,240.0,220.0,Hybrid,0.91,666753
Huawei_10300W_960,Huawei,10300.0,48.0,220.0,Off-Grid,0.91,1338610
Growatt_4900W_961,Growatt,4900.0,96.0,220.0,Battery-Based,0.89,310254
PRAG_19600W_962,PRAG,19600.0,96.0,220.0,Off-Grid,0.91,769019
Victron Energy_19550W_963,Victron Energy,19550.0,240.0,220.0,Battery-Based,0.9,2831025
SMA_14900W_964,SMA,14900.0,24.0,220.0,Multifunction,0.87,2063676
Sungrow_2700W_965,Sungrow,2700.0,96.0,220.0,Off-Grid,0.87,265277
Growatt_8600W_966,Growatt,8600.0,12.0,220.0,Grid-Tie,0.88,793682
Growatt_2650W_967,Growatt,2650.0,48.0,220.0,Hybrid,0.9,258557
Huawei_4900W_968,Huawei,4900.0,96.0,220.0,Grid-Tie,0.91,706094
Techfine_10150W_969,Techfine,10150.0,240.0,220.0,Off-Grid,0.87,693533
Growatt_1450W_970,Growatt,1450.0,24.0,220.0,Multifunction,0.91,134367
Growatt_6600W_971,Growatt,6600.0,48.0,220.0,Battery-Based,0.91,430526
Fronius_18450W_972,Fronius,18450.0,96.0,220.0,Grid-Tie,0.88,2038520
Sungrow_9300W_973,Sungrow,9300.0,96.0,220.0,Multifunction,0.91,661180
Protonix Fortuner_3550W_974,Protonix Fortuner,3550.0,24.0,220.0,Grid-Tie,0.91,313631
Sungrow_18700W_975,Sungrow,18700.0,48.0,220.0,Grid-Tie,0.92,1377922
Kartel Solar_3450W_976,Kartel Solar,3450.0,48.0,220.0,Hybrid,0.88,165077
Protonix Fortuner_2150W_977,Protonix Fortuner,2150.0,48.0,220.0,Off-Grid,0.89,192614
Kartel Solar_10600W_978,Kartel Solar,10600.0,96.0,220.0,Battery-Based,0.91,616810
Techfine_14700W_979,Techfine,14700.0,96.0,220.0,Grid-Tie,0.88,1399743
Fronius_6000W_980,Fronius,6000.0,12.0,220.0,Grid-Tie,0.87,795452
PRAG_10750W_981,PRAG,10750.0,240.0,220.0,Hybrid,0.91,642755
Protonix Fortuner_5850W_982,Protonix Fortuner,5850.0,12.0,220.0,Multifunction,0.91,385798
Techfine_11600W_983,Techfine,11600.0,24.0,220.0,Battery-Based,0.92,822313
Felicity Solar_18250W_984,Felicity Solar,18250.0,96.0,220.0,Hybrid,0.89,1014327
Techfine_14800W_985,Techfine,14800.0,240.0,220.0,Battery-Based,0.91,1449369
Kartel Solar_9850W_986,Kartel Solar,9850.0,48.0,220.0,Multifunction,0.89,365195
Felicity Solar_9350W_987,Felicity Solar,9350.0,240.0,220.0,Battery-Based,0.9,348698
Growatt_4350W_988,Growatt,4350.0,24.0,220.0,Battery-Based,0.89,377893
Protonix Fortuner_5350W_989,Protonix Fortuner,5350.0,48.0,220.0,Hybrid,0.89,511106
Blue Gate_3350W_990,Blue Gate,3350.0,12.0,220.0,Grid-Tie,0.87,184164
Victron Energy_10500W_991,Victron Energy,10500.0,96.0,220.0,Grid-Tie,0.87,1507078
Growatt_14450W_992,Growatt,14450.0,48.0,220.0,Off-Grid,0.88,1437466
Felicity Solar_2800W_993,Felicity Solar,2800.0,24.0,220.0,Hybrid,0.91,131343
Blue Gate_15850W_994,Blue Gate,15850.0,96.0,220.0,Grid-Tie,0.92,681586
Protonix Fortuner_8550W_995,Protonix Fortuner,8550.0,12.0,220.0,Grid-Tie,0.88,712752
Blue Gate_2500W_996,Blue Gate,2500.0,12.0,220.0,Hybrid,0.91,105093
Huawei_5750W_997,Huawei,5750.0,24.0,220.0,Multifunction,0.88,817882
Kartel Solar_10950W_998,Kartel Solar,10950.0,12.0,220.0,Battery-Based,0.9,614331
Kartel Solar_8500W_999,Kartel Solar,8500.0,240.0,220.0,Battery-Based,0.9,478816
PRAG_16300W_1000,PRAG,16300.0,240.0,220.0,Multifunction,0.91,756808
SMA_19550W_1001,SMA,19550.0,24.0,220.0,Battery-Based,0.9,2550053
Victron Energy_2350W_1002,Victron Energy,2350.0,240.0,220.0,Hybrid,0.91,345682
Sungrow_8000W_1003,Sungrow,8000.0,96.0,220.0,Grid-Tie,0.92,695059
PRAG_16400W_1004,PRAG,16400.0,96.0,220.0,Off-Grid,0.91,872808
Techfine_2550W_1005,Techfine,2550.0,24.0,220.0,Hybrid,0.9,212379
Kartel Solar_9500W_1006,Kartel Solar,9500.0,240.0,220.0,Hybrid,0.92,475285
Fronius_16350W_1007,Fronius,16350.0,240.0,220.0,Battery-Based,0.9,2045221
Huawei_9350W_1008,Huawei,9350.0,12.0,220.0,Hybrid,0.89,1114473
Fronius_11050W_1009,Fronius,11050.0,240.0,220.0,Multifunction,0.9,1435425
Huawei_1450W_1010,Huawei,1450.0,24.0,220.0,Hybrid,0.88,161541
Felicity Solar_7750W_1011,Felicity Solar,7750.0,96.0,220.0,Hybrid,0.91,274598
Victron Energy_12350W_1012,Victron Energy,12350.0,48.0,220.0,Grid-Tie,0.89,1842327
Sungrow_10150W_1013,Sungrow,10150.0,48.0,220.0,Grid-Tie,0.89,1007090
Felicity Solar_12450W_1014,Felicity Solar,12450.0,240.0,220.0,Hybrid,0.92,683742
Sungrow_14050W_1015,Sungrow,14050.0,12.0,220.0,Off-Grid,0.88,950927
Kartel Solar_3800W_1016,Kartel Solar,3800.0,48.0,220.0,Off-Grid,0.88,133878
Blue Gate_5100W_1017,Blue Gate,5100.0,24.0,220.0,Hybrid,0.9,206942
Victron Energy_9650W_1018,Victron Energy,9650.0,48.0,220.0,Hybrid,0.9,1269301
Kartel Solar_9700W_1019,Kartel Solar,9700.0,24.0,220.0,Battery-Based,0.89,559369
Growatt_11050W_1020,Growatt,11050.0,24.0,220.0,Hybrid,0.87,687440
Protonix Fortuner_14750W_1021,Protonix Fortuner,14750.0,48.0,220.0,Grid-Tie,0.87,1015216
Kartel Solar_1050W_1022,Kartel Solar,1050.0,24.0,220.0,Multifunction,0.92,49449
Sungrow_3150W_1023,Sungrow,3150.0,12.0,220.0,Battery-Based,0.88,238632
Growatt_18550W_1024,Growatt,18550.0,48.0,220.0,Hybrid,0.9,1162374
Protonix Fortuner_2750W_1025,Protonix Fortuner,2750.0,48.0,220.0,Multifunction,0.9,178245
Fronius_14650W_1026,Fronius,14650.0,24.0,220.0,Multifunction,0.88,1958188
PRAG_15350W_1027,PRAG,15350.0,240.0,220.0,Off-Grid,0.92,723774
Blue Gate_18550W_1028,Blue Gate,18550.0,24.0,220.0,Hybrid,0.9,1028846
Blue Gate_16050W_1029,Blue Gate,16050.0,24.0,220.0,Multifunction,0.89,582816
Kartel Solar_6700W_1030,Kartel Solar,6700.0,24.0,220.0,Off-Grid,0.91,234984
Protonix Fortuner_4450W_1031,Protonix Fortuner,4450.0,48.0,220.0,Multifunction,0.89,387305
Techfine_19350W_1032,Techfine,19350.0,12.0,220.0,Hybrid,0.91,1381803
Victron Energy_10600W_1033,Victron Energy,10600.0,24.0,220.0,Hybrid,0.89,1468681
Kartel Solar_19900W_1034,Kartel Solar,19900.0,12.0,220.0,Battery-Based,0.88,1190453
Fronius_1700W_1035,Fronius,1700.0,24.0,220.0,Off-Grid,0.91,199229
Felicity Solar_15950W_1036,Felicity Solar,15950.0,240.0,220.0,Hybrid,0.92,856881
Felicity Solar_7450W_1037,Felicity Solar,7450.0,12.0,220.0,Multifunction,0.87,427730
Felicity Solar_2500W_1038,Felicity Solar,2500.0,240.0,220.0,Battery-Based,0.89,130563
Huawei_5900W_1039,Huawei,5900.0,24.0,220.0,Grid-Tie,0.88,592897
Victron Energy_13400W_1040,Victron Energy,13400.0,24.0,220.0,Battery-Based,0.89,1593468
Fronius_15600W_1041,Fronius,15600.0,24.0,220.0,Off-Grid,0.89,1709242
PRAG_15750W_1042,PRAG,15750.0,24.0,220.0,Off-Grid,0.89,567830
Felicity Solar_16450W_1043,Felicity Solar,16450.0,240.0,220.0,Off-Grid,0.91,566794
Fronius_19450W_1044,Fronius,19450.0,12.0,220.0,Battery-Based,0.89,2492634
Felicity Solar_8100W_1045,Felicity Solar,8100.0,96.0,220.0,Hybrid,0.87,259333
Kartel Solar_15550W_1046,Kartel Solar,15550.0,240.0,220.0,Off-Grid,0.88,740164
PRAG_12000W_1047,PRAG,12000.0,48.0,220.0,Off-Grid,0.9,532061
Felicity Solar_1050W_1048,Felicity Solar,1050.0,240.0,220.0,Grid-Tie,0.92,54152
PRAG_2000W_1049,PRAG,2000.0,48.0,220.0,Hybrid,0.89,92471
Victron Energy_6350W_1050,Victron Energy,6350.0,96.0,220.0,Multifunction,0.91,787748
Huawei_10050W_1051,Huawei,10050.0,24.0,220.0,Battery-Based,0.9,1212977
Growatt_4950W_1052,Growatt,4950.0,12.0,220.0,Multifunction,0.91,366294
Protonix Fortuner_3500W_1053,Protonix Fortuner,3500.0,240.0,220.0,Grid-Tie,0.89,286802
Victron Energy_6950W_1054,Victron Energy,6950.0,96.0,220.0,Hybrid,0.9,861521
Sungrow_7600W_1055,Sungrow,7600.0,96.0,220.0,Grid-Tie,0.9,698369
Kartel Solar_4750W_1056,Kartel Solar,4750.0,48.0,220.0,Off-Grid,0.9,192307
Huawei_4550W_1057,Huawei,4550.0,240.0,220.0,Multifunction,0.9,646403
Felicity Solar_9550W_1058,Felicity Solar,9550.0,240.0,220.0,Grid-Tie,0.89,457314
Growatt_4400W_1059,Growatt,4400.0,48.0,220.0,Off-Grid,0.88,384082
Victron Energy_19050W_1060,Victron Energy,19050.0,24.0,220.0,Grid-Tie,0.91,2648481
Fronius_4150W_1061,Fronius,4150.0,48.0,220.0,Grid-Tie,0.89,586603
Felicity Solar_12500W_1062,Felicity Solar,12500.0,48.0,220.0,Grid-Tie,0.9,677090
Growatt_6300W_1063,Growatt,6300.0,24.0,220.0,Grid-Tie,0.91,487067
Techfine_8650W_1064,Techfine,8650.0,96.0,220.0,Battery-Based,0.89,760838
Techfine_16900W_1065,Techfine,16900.0,240.0,220.0,Grid-Tie,0.91,1169782
PRAG_18350W_1066,PRAG,18350.0,240.0,220.0,Hybrid,0.88,660804
Kartel Solar_4850W_1067,Kartel Solar,4850.0,48.0,220.0,Multifunction,0.89,205428
Sungrow_1600W_1068,Sungrow,1600.0,24.0,220.0,Multifunction,0.9,120563
PRAG_2500W_1069,PRAG,2500.0,240.0,220.0,Hybrid,0.88,110684
Victron Energy_17200W_1070,Victron Energy,17200.0,48.0,220.0,Multifunction,0.9,1893436
Felicity Solar_5100W_1071,Felicity Solar,5100.0,24.0,220.0,Grid-Tie,0.89,269774
Techfine_19150W_1072,Techfine,19150.0,240.0,220.0,Grid-Tie,0.9,1317773
Sungrow_5650W_1073,Sungrow,5650.0,48.0,220.0,Battery-Based,0.91,343192
Sungrow_3750W_1074,Sungrow,3750.0,48.0,220.0,Hybrid,0.91,281375
Kartel Solar_19000W_1075,Kartel Solar,19000.0,24.0,220.0,Multifunction,0.9,956893
SMA_1600W_1076,SMA,1600.0,240.0,220.0,Off-Grid,0.92,180853
Victron Energy_7450W_1077,Victron Energy,7450.0,48.0,220.0,Grid-Tie,0.92,789441
Blue Gate_17750W_1078,Blue Gate,17750.0,96.0,220.0,Battery-Based,0.89,771601
Kartel Solar_6850W_1079,Kartel Solar,6850.0,240.0,220.0,Hybrid,0.92,232807
Felicity Solar_15200W_1080,Felicity Solar,15200.0,24.0,220.0,Hybrid,0.92,609996
Sungrow_5450W_1081,Sungrow,5450.0,96.0,220.0,Multifunction,0.9,439131
PRAG_7250W_1082,PRAG,7250.0,48.0,220.0,Multifunction,0.88,309808
Sungrow_11350W_1083,Sungrow,11350.0,240.0,220.0,Battery-Based,0.91,1118594
SMA_18850W_1084,SMA,18850.0,12.0,220.0,Hybrid,0.89,2763859
PRAG_3100W_1085,PRAG,3100.0,24.0,220.0,Multifunction,0.9,111013
Huawei_16000W_1086,Huawei,16000.0,12.0,220.0,Grid-Tie,0.89,1612584
