controller_id,brand,type,max_voltage_V,max_current_A,derating_factor,price_NGN
Xtra Power_PWM_36V_35A_1224,Xtra Power,PWM,36.0,35.0,0.92,120848
SRNE_PWM_36V_35A_1225,SRNE,PWM,36.0,35.0,0.94,58375
Must_MPPT_48V_35A_1226,Must,MPPT,48.0,35.0,0.92,32316
Xtra Power_PWM_24V_100A_1227,Xtra Power,PWM,24.0,100.0,0.94,132984
Xtra Power_PWM_36V_95A_1228,Xtra Power,PWM,36.0,95.0,0.92,136960
Anern_PWM_60V_95A_1229,Anern,PWM,60.0,95.0,0.94,137153
SRNE_PWM_48V_70A_1230,SRNE,PWM,48.0,70.0,0.93,63678
Anern_MPPT_150V_35A_1231,Anern,MPPT,150.0,35.0,0.94,105859
Felicity_MPPT_48V_15A_1232,Felicity,MPPT,48.0,15.0,0.95,64949
SRNE_PWM_48V_20A_1233,SRNE,PWM,48.0,20.0,0.91,49885
Techfine_PWM_60V_15A_1234,Techfine,PWM,60.0,15.0,0.92,112920
SRNE_MPPT_48V_25A_1235,SRNE,MPPT,48.0,25.0,0.93,39568
Schneider Electric_PWM_24V_65A_1236,Schneider Electric,PWM,24.0,65.0,0.95,175870
Felicity_PWM_48V_35A_1237,Felicity,PWM,48.0,35.0,0.92,38778
Schneider Electric_MPPT_12V_100A_1238,Schneider Electric,MPPT,12.0,100.0,0.94,190823
Livoltek_MPPT_24V_80A_1239,Livoltek,MPPT,24.0,80.0,0.92,218085
Anern_MPPT_150V_30A_1240,Anern,MPPT,150.0,30.0,0.92,81290
SRNE_PWM_36V_25A_1241,SRNE,PWM,36.0,25.0,0.95,73087
SRNE_MPPT_100V_95A_1242,SRNE,MPPT,100.0,95.0,0.92,74751
Growatt_PWM_60V_50A_1243,Growatt,PWM,60.0,50.0,0.94,60798
Xtra Power_PWM_12V_55A_1244,Xtra Power,PWM,12.0,55.0,0.92,95036
Anern_MPPT_48V_75A_1245,Anern,MPPT,48.0,75.0,0.93,149815
Growatt_PWM_12V_10A_1246,Growatt,PWM,12.0,10.0,0.94,64934
Epever_MPPT_36V_30A_1247,Epever,MPPT,36.0,30.0,0.92,108665
Growatt_PWM_36V_55A_1248,Growatt,PWM,36.0,55.0,0.92,62440
Anern_MPPT_150V_75A_1249,Anern,MPPT,150.0,75.0,0.93,108189
Livoltek_PWM_12V_55A_1250,Livoltek,PWM,12.0,55.0,0.91,189678
Felicity_PWM_60V_90A_1251,Felicity,PWM,60.0,90.0,0.91,20322
Livoltek_PWM_36V_45A_1252,Livoltek,PWM,36.0,45.0,0.93,165919
Schneider Electric_PWM_60V_80A_1253,Schneider Electric,PWM,60.0,80.0,0.93,204347
Must_PWM_24V_25A_1254,Must,PWM,24.0,25.0,0.92,69628
SRNE_PWM_12V_65A_1255,SRNE,PWM,12.0,65.0,0.91,67323
Epever_MPPT_36V_45A_1256,Epever,MPPT,36.0,45.0,0.94,129314
Anern_PWM_24V_90A_1257,Anern,PWM,24.0,90.0,0.92,146214
Felicity_MPPT_24V_50A_1258,Felicity,MPPT,24.0,50.0,0.92,57941
Felicity_PWM_36V_85A_1259,Felicity,PWM,36.0,85.0,0.93,45624
Must_MPPT_24V_85A_1260,Must,MPPT,24.0,85.0,0.94,66495
Techfine_MPPT_12V_85A_1261,Techfine,MPPT,12.0,85.0,0.91,84837
SRNE_MPPT_150V_70A_1262,SRNE,MPPT,150.0,70.0,0.94,24849
Techfine_MPPT_100V_35A_1263,Techfine,MPPT,100.0,35.0,0.93,108676
Schneider Electric_MPPT_100V_10A_1264,Schneider Electric,MPPT,100.0,10.0,0.95,244524
Xtra Power_MPPT_24V_60A_1265,Xtra Power,MPPT,24.0,60.0,0.94,101316
Felicity_PWM_24V_25A_1266,Felicity,PWM,24.0,25.0,0.93,39617
Felicity_PWM_12V_35A_1267,Felicity,PWM,12.0,35.0,0.93,71025
SRNE_MPPT_60V_75A_1268,SRNE,MPPT,60.0,75.0,0.95,62606
Felicity_PWM_60V_10A_1269,Felicity,PWM,60.0,10.0,0.94,35503
Xtra Power_PWM_48V_30A_1270,Xtra Power,PWM,48.0,30.0,0.93,144130
Souer_PWM_60V_35A_1271,Souer,PWM,60.0,35.0,0.92,178386
Growatt_PWM_12V_55A_1272,Growatt,PWM,12.0,55.0,0.93,71956
Anern_PWM_60V_35A_1273,Anern,PWM,60.0,35.0,0.94,104965
Must_PWM_36V_100A_1274,Must,PWM,36.0,100.0,0.93,24111
Anern_PWM_36V_45A_1275,Anern,PWM,36.0,45.0,0.95,124589
Felicity_MPPT_12V_65A_1276,Felicity,MPPT,12.0,65.0,0.92,71563
Epever_MPPT_100V_90A_1277,Epever,MPPT,100.0,90.0,0.94,131314
Xtra Power_MPPT_48V_55A_1278,Xtra Power,MPPT,48.0,55.0,0.94,140801
SRNE_MPPT_12V_20A_1279,SRNE,MPPT,12.0,20.0,0.94,78317
Anern_PWM_48V_60A_1280,Anern,PWM,48.0,60.0,0.94,107392
Livoltek_PWM_24V_50A_1281,Livoltek,PWM,24.0,50.0,0.95,222336
Livoltek_MPPT_150V_95A_1282,Livoltek,MPPT,150.0,95.0,0.91,209941
Growatt_PWM_12V_45A_1283,Growatt,PWM,12.0,45.0,0.93,50566
Epever_MPPT_12V_85A_1284,Epever,MPPT,12.0,85.0,0.95,86253
Felicity_PWM_48V_50A_1285,Felicity,PWM,48.0,50.0,0.94,40630
Growatt_PWM_24V_65A_1286,Growatt,PWM,24.0,65.0,0.93,42407
Epever_PWM_60V_70A_1287,Epever,PWM,60.0,70.0,0.91,122077
Epever_PWM_24V_40A_1288,Epever,PWM,24.0,40.0,0.91,129433
Growatt_PWM_60V_15A_1289,Growatt,PWM,60.0,15.0,0.91,29273
Epever_MPPT_100V_70A_1290,Epever,MPPT,100.0,70.0,0.94,88271
Morningstar_MPPT_24V_10A_1291,Morningstar,MPPT,24.0,10.0,0.93,190539
Epever_PWM_36V_100A_1292,Epever,PWM,36.0,100.0,0.91,137861
Anern_PWM_24V_45A_1293,Anern,PWM,24.0,45.0,0.92,147227
Livoltek_MPPT_48V_30A_1294,Livoltek,MPPT,48.0,30.0,0.93,229646
SRNE_MPPT_60V_60A_1295,SRNE,MPPT,60.0,60.0,0.94,62593
Felicity_PWM_36V_95A_1296,Felicity,PWM,36.0,95.0,0.92,33735
Souer_MPPT_36V_15A_1297,Souer,MPPT,36.0,15.0,0.93,188943
SRNE_MPPT_150V_60A_1298,SRNE,MPPT,150.0,60.0,0.94,24160
SRNE_PWM_12V_15A_1299,SRNE,PWM,12.0,15.0,0.93,34466
Techfine_MPPT_60V_100A_1300,Techfine,MPPT,60.0,100.0,0.94,95075
Xtra Power_MPPT_150V_70A_1301,Xtra Power,MPPT,150.0,70.0,0.92,127363
Felicity_PWM_24V_50A_1302,Felicity,PWM,24.0,50.0,0.94,60701
Epever_PWM_12V_50A_1303,Epever,PWM,12.0,50.0,0.94,90222
Must_MPPT_150V_65A_1304,Must,MPPT,150.0,65.0,0.92,29667
SRNE_PWM_60V_70A_1305,SRNE,PWM,60.0,70.0,0.92,63668
Techfine_PWM_24V_15A_1306,Techfine,PWM,24.0,15.0,0.93,136478
Epever_MPPT_100V_50A_1307,Epever,MPPT,100.0,50.0,0.94,96617
Epever_PWM_36V_75A_1308,Epever,PWM,36.0,75.0,0.95,118594
Morningstar_MPPT_150V_45A_1309,Morningstar,MPPT,150.0,45.0,0.94,217215
Must_MPPT_36V_40A_1310,Must,MPPT,36.0,40.0,0.93,70505
Schneider Electric_PWM_60V_65A_1311,Schneider Electric,PWM,60.0,65.0,0.92,207726
Epever_PWM_60V_75A_1312,Epever,PWM,60.0,75.0,0.92,129852
Xtra Power_MPPT_150V_45A_1313,Xtra Power,MPPT,150.0,45.0,0.92,141163
Xtra Power_PWM_24V_40A_1314,Xtra Power,PWM,24.0,40.0,0.95,127546
Anern_PWM_48V_75A_1315,Anern,PWM,48.0,75.0,0.91,143162
Growatt_PWM_36V_50A_1316,Growatt,PWM,36.0,50.0,0.92,41111
Morningstar_MPPT_100V_55A_1317,Morningstar,MPPT,100.0,55.0,0.91,191846
Anern_PWM_36V_10A_1318,Anern,PWM,36.0,10.0,0.95,109067
SRNE_PWM_12V_25A_1319,SRNE,PWM,12.0,25.0,0.91,48171
Felicity_MPPT_12V_45A_1320,Felicity,MPPT,12.0,45.0,0.92,44288
Felicity_PWM_60V_70A_1321,Felicity,PWM,60.0,70.0,0.92,72742
Epever_MPPT_24V_10A_1322,Epever,MPPT,24.0,10.0,0.93,95398
Techfine_MPPT_100V_65A_1323,Techfine,MPPT,100.0,65.0,0.92,133164
Souer_MPPT_48V_15A_1324,Souer,MPPT,48.0,15.0,0.95,225593
Growatt_MPPT_48V_80A_1325,Growatt,MPPT,48.0,80.0,0.92,75546
Livoltek_PWM_12V_65A_1326,Livoltek,PWM,12.0,65.0,0.94,166298
Techfine_PWM_12V_35A_1327,Techfine,PWM,12.0,35.0,0.94,129332
Souer_PWM_60V_60A_1328,Souer,PWM,60.0,60.0,0.92,189226
Felicity_PWM_36V_95A_1329,Felicity,PWM,36.0,95.0,0.93,57768
Anern_PWM_12V_15A_1330,Anern,PWM,12.0,15.0,0.93,110919
Must_MPPT_12V_100A_1331,Must,MPPT,12.0,100.0,0.94,37410
Must_MPPT_24V_90A_1332,Must,MPPT,24.0,90.0,0.92,67292
SRNE_PWM_36V_50A_1333,SRNE,PWM,36.0,50.0,0.94,35183
Felicity_MPPT_48V_85A_1334,Felicity,MPPT,48.0,85.0,0.93,29057
Epever_MPPT_48V_95A_1335,Epever,MPPT,48.0,95.0,0.95,143849
Schneider Electric_MPPT_48V_15A_1336,Schneider Electric,MPPT,48.0,15.0,0.93,199288
Techfine_PWM_60V_15A_1337,Techfine,PWM,60.0,15.0,0.91,143945
Anern_MPPT_48V_95A_1338,Anern,MPPT,48.0,95.0,0.94,130905
Souer_PWM_60V_35A_1339,Souer,PWM,60.0,35.0,0.94,182541
Xtra Power_PWM_24V_65A_1340,Xtra Power,PWM,24.0,65.0,0.93,127292
Must_PWM_36V_80A_1341,Must,PWM,36.0,80.0,0.92,23920
Growatt_MPPT_60V_10A_1342,Growatt,MPPT,60.0,10.0,0.92,57079
Morningstar_PWM_24V_85A_1343,Morningstar,PWM,24.0,85.0,0.93,172510
Felicity_PWM_24V_65A_1344,Felicity,PWM,24.0,65.0,0.93,41782
SRNE_MPPT_12V_55A_1345,SRNE,MPPT,12.0,55.0,0.93,47577
Epever_MPPT_60V_85A_1346,Epever,MPPT,60.0,85.0,0.92,104125
Xtra Power_PWM_24V_50A_1347,Xtra Power,PWM,24.0,50.0,0.92,92107
Growatt_MPPT_36V_90A_1348,Growatt,MPPT,36.0,90.0,0.94,30662
Must_PWM_60V_80A_1349,Must,PWM,60.0,80.0,0.94,28579
Growatt_PWM_12V_10A_1350,Growatt,PWM,12.0,10.0,0.94,38356
Techfine_MPPT_60V_20A_1351,Techfine,MPPT,60.0,20.0,0.93,142436
Techfine_MPPT_36V_70A_1352,Techfine,MPPT,36.0,70.0,0.94,138247
Anern_MPPT_60V_80A_1353,Anern,MPPT,60.0,80.0,0.92,144935
Techfine_MPPT_48V_90A_1354,Techfine,MPPT,48.0,90.0,0.91,112521
Morningstar_MPPT_48V_100A_1355,Morningstar,MPPT,48.0,100.0,0.92,164555
Felicity_PWM_60V_35A_1356,Felicity,PWM,60.0,35.0,0.92,21788
Livoltek_MPPT_100V_100A_1357,Livoltek,MPPT,100.0,100.0,0.91,220762
Schneider Electric_MPPT_100V_30A_1358,Schneider Electric,MPPT,100.0,30.0,0.92,248150
Morningstar_PWM_36V_15A_1359,Morningstar,PWM,36.0,15.0,0.91,239835
Livoltek_MPPT_24V_40A_1360,Livoltek,MPPT,24.0,40.0,0.95,221946
Must_MPPT_48V_35A_1361,Must,MPPT,48.0,35.0,0.93,54859
Epever_PWM_24V_40A_1362,Epever,PWM,24.0,40.0,0.93,100919
Anern_PWM_60V_100A_1363,Anern,PWM,60.0,100.0,0.95,96234
Felicity_PWM_60V_75A_1364,Felicity,PWM,60.0,75.0,0.93,53492
Schneider Electric_MPPT_60V_75A_1365,Schneider Electric,MPPT,60.0,75.0,0.93,229794
Epever_PWM_48V_85A_1366,Epever,PWM,48.0,85.0,0.93,108467
Techfine_PWM_36V_100A_1367,Techfine,PWM,36.0,100.0,0.93,115457
Felicity_PWM_48V_10A_1368,Felicity,PWM,48.0,10.0,0.93,59352
Anern_PWM_36V_45A_1369,Anern,PWM,36.0,45.0,0.95,146617
Techfine_PWM_36V_90A_1370,Techfine,PWM,36.0,90.0,0.93,108576
Growatt_PWM_36V_60A_1371,Growatt,PWM,36.0,60.0,0.93,50745
Schneider Electric_PWM_60V_90A_1372,Schneider Electric,PWM,60.0,90.0,0.94,174138
Techfine_PWM_24V_55A_1373,Techfine,PWM,24.0,55.0,0.91,85602
Techfine_MPPT_48V_95A_1374,Techfine,MPPT,48.0,95.0,0.92,100989
Xtra Power_MPPT_150V_20A_1375,Xtra Power,MPPT,150.0,20.0,0.93,132133
Must_PWM_48V_90A_1376,Must,PWM,48.0,90.0,0.93,73274
Must_PWM_24V_65A_1377,Must,PWM,24.0,65.0,0.92,20419
Morningstar_PWM_60V_95A_1378,Morningstar,PWM,60.0,95.0,0.94,159890
Growatt_MPPT_100V_40A_1379,Growatt,MPPT,100.0,40.0,0.94,43057
SRNE_PWM_48V_60A_1380,SRNE,PWM,48.0,60.0,0.92,69746
Xtra Power_PWM_48V_35A_1381,Xtra Power,PWM,48.0,35.0,0.95,123919
Souer_MPPT_100V_40A_1382,Souer,MPPT,100.0,40.0,0.95,157730
Schneider Electric_PWM_48V_85A_1383,Schneider Electric,PWM,48.0,85.0,0.94,202289
Schneider Electric_PWM_48V_10A_1384,Schneider Electric,PWM,48.0,10.0,0.94,193408
Must_PWM_24V_30A_1385,Must,PWM,24.0,30.0,0.94,40728
Techfine_MPPT_100V_85A_1386,Techfine,MPPT,100.0,85.0,0.92,88432
Felicity_PWM_60V_15A_1387,Felicity,PWM,60.0,15.0,0.94,36026
Schneider Electric_PWM_48V_100A_1388,Schneider Electric,PWM,48.0,100.0,0.95,201475
Anern_MPPT_12V_50A_1389,Anern,MPPT,12.0,50.0,0.93,107507
Techfine_MPPT_60V_80A_1390,Techfine,MPPT,60.0,80.0,0.94,128614
Felicity_MPPT_36V_30A_1391,Felicity,MPPT,36.0,30.0,0.93,77385
Schneider Electric_PWM_36V_25A_1392,Schneider Electric,PWM,36.0,25.0,0.92,168925
Epever_PWM_60V_75A_1393,Epever,PWM,60.0,75.0,0.94,142259
Souer_PWM_24V_50A_1394,Souer,PWM,24.0,50.0,0.94,238452
Techfine_PWM_12V_45A_1395,Techfine,PWM,12.0,45.0,0.91,121214
Must_MPPT_60V_45A_1396,Must,MPPT,60.0,45.0,0.92,50901
Xtra Power_PWM_36V_65A_1397,Xtra Power,PWM,36.0,65.0,0.95,136512
Epever_MPPT_36V_55A_1398,Epever,MPPT,36.0,55.0,0.94,126949
Growatt_MPPT_150V_15A_1399,Growatt,MPPT,150.0,15.0,0.93,60958
Anern_MPPT_36V_100A_1400,Anern,MPPT,36.0,100.0,0.92,141986
Souer_PWM_24V_80A_1401,Souer,PWM,24.0,80.0,0.91,233445
SRNE_MPPT_12V_95A_1402,SRNE,MPPT,12.0,95.0,0.92,41428
Must_PWM_36V_30A_1403,Must,PWM,36.0,30.0,0.94,59981
Growatt_PWM_60V_35A_1404,Growatt,PWM,60.0,35.0,0.91,57881
Felicity_PWM_12V_10A_1405,Felicity,PWM,12.0,10.0,0.95,58672
Felicity_PWM_48V_40A_1406,Felicity,PWM,48.0,40.0,0.93,50200
SRNE_MPPT_60V_85A_1407,SRNE,MPPT,60.0,85.0,0.93,26251
Epever_MPPT_100V_70A_1408,Epever,MPPT,100.0,70.0,0.93,87195
Souer_MPPT_150V_70A_1409,Souer,MPPT,150.0,70.0,0.92,185798
Xtra Power_PWM_48V_100A_1410,Xtra Power,PWM,48.0,100.0,0.93,140264
Morningstar_PWM_36V_25A_1411,Morningstar,PWM,36.0,25.0,0.91,242463
Xtra Power_PWM_12V_55A_1412,Xtra Power,PWM,12.0,55.0,0.92,80913
Growatt_MPPT_36V_10A_1413,Growatt,MPPT,36.0,10.0,0.95,78795
Xtra Power_MPPT_12V_20A_1414,Xtra Power,MPPT,12.0,20.0,0.93,115358
SRNE_PWM_36V_15A_1415,SRNE,PWM,36.0,15.0,0.93,67172
Techfine_MPPT_60V_25A_1416,Techfine,MPPT,60.0,25.0,0.93,119037
Techfine_MPPT_24V_90A_1417,Techfine,MPPT,24.0,90.0,0.91,84947
Techfine_PWM_48V_50A_1418,Techfine,PWM,48.0,50.0,0.92,128356
Epever_PWM_36V_50A_1419,Epever,PWM,36.0,50.0,0.92,91437
Xtra Power_MPPT_24V_70A_1420,Xtra Power,MPPT,24.0,70.0,0.92,84874
Epever_PWM_48V_75A_1421,Epever,PWM,48.0,75.0,0.92,117147
Morningstar_MPPT_24V_40A_1422,Morningstar,MPPT,24.0,40.0,0.95,155594
Epever_PWM_24V_20A_1423,Epever,PWM,24.0,20.0,0.91,143910
Must_MPPT_150V_50A_1424,Must,MPPT,150.0,50.0,0.92,53635
Must_PWM_36V_60A_1425,Must,PWM,36.0,60.0,0.91,29741
Felicity_PWM_48V_60A_1426,Felicity,PWM,48.0,60.0,0.93,26810
Must_PWM_36V_50A_1427,Must,PWM,36.0,50.0,0.92,65890
Felicity_PWM_24V_85A_1428,Felicity,PWM,24.0,85.0,0.91,28128
Must_PWM_48V_10A_1429,Must,PWM,48.0,10.0,0.94,69747
Xtra Power_PWM_48V_40A_1430,Xtra Power,PWM,48.0,40.0,0.94,135049
Anern_PWM_36V_25A_1431,Anern,PWM,36.0,25.0,0.95,144170
SRNE_PWM_48V_65A_1432,SRNE,PWM,48.0,65.0,0.92,28737
Epever_PWM_60V_10A_1433,Epever,PWM,60.0,10.0,0.94,82041
Techfine_PWM_60V_90A_1434,Techfine,PWM,60.0,90.0,0.92,108111
Felicity_MPPT_48V_75A_1435,Felicity,MPPT,48.0,75.0,0.91,78422
SRNE_MPPT_150V_55A_1436,SRNE,MPPT,150.0,55.0,0.94,37444
Anern_PWM_24V_80A_1437,Anern,PWM,24.0,80.0,0.93,87718
Morningstar_PWM_36V_35A_1438,Morningstar,PWM,36.0,35.0,0.92,166956
SRNE_PWM_48V_65A_1439,SRNE,PWM,48.0,65.0,0.95,28167
Livoltek_PWM_48V_100A_1440,Livoltek,PWM,48.0,100.0,0.95,238607
Techfine_MPPT_12V_35A_1441,Techfine,MPPT,12.0,35.0,0.92,105641
Epever_PWM_60V_75A_1442,Epever,PWM,60.0,75.0,0.92,131990
Must_PWM_12V_30A_1443,Must,PWM,12.0,30.0,0.92,68229
Xtra Power_MPPT_36V_95A_1444,Xtra Power,MPPT,36.0,95.0,0.94,145669
Epever_PWM_48V_80A_1445,Epever,PWM,48.0,80.0,0.94,94908
Anern_PWM_24V_25A_1446,Anern,PWM,24.0,25.0,0.93,117548
Morningstar_MPPT_100V_20A_1447,Morningstar,MPPT,100.0,20.0,0.92,204496
Souer_PWM_48V_85A_1448,Souer,PWM,48.0,85.0,0.94,242940
Epever_PWM_24V_20A_1449,Epever,PWM,24.0,20.0,0.92,88307
Felicity_MPPT_48V_55A_1450,Felicity,MPPT,48.0,55.0,0.93,54712
Growatt_MPPT_48V_75A_1451,Growatt,MPPT,48.0,75.0,0.93,43534
Epever_MPPT_100V_35A_1452,Epever,MPPT,100.0,35.0,0.94,142300
Techfine_MPPT_12V_40A_1453,Techfine,MPPT,12.0,40.0,0.94,123010
Must_PWM_48V_30A_1454,Must,PWM,48.0,30.0,0.94,60393
Anern_MPPT_150V_50A_1455,Anern,MPPT,150.0,50.0,0.92,125367
Must_MPPT_100V_25A_1456,Must,MPPT,100.0,25.0,0.92,79717
Morningstar_MPPT_36V_70A_1457,Morningstar,MPPT,36.0,70.0,0.91,202131
Livoltek_PWM_12V_45A_1458,Livoltek,PWM,12.0,45.0,0.93,237002
Must_PWM_48V_15A_1459,Must,PWM,48.0,15.0,0.93,53574
Techfine_MPPT_24V_30A_1460,Techfine,MPPT,24.0,30.0,0.94,144595
Techfine_PWM_48V_60A_1461,Techfine,PWM,48.0,60.0,0.93,140305
Souer_MPPT_24V_30A_1462,Souer,MPPT,24.0,30.0,0.92,181276
Techfine_MPPT_24V_65A_1463,Techfine,MPPT,24.0,65.0,0.92,142665
Morningstar_MPPT_48V_55A_1464,Morningstar,MPPT,48.0,55.0,0.94,185165
Livoltek_PWM_36V_85A_1465,Livoltek,PWM,36.0,85.0,0.92,187165
Techfine_MPPT_100V_45A_1466,Techfine,MPPT,100.0,45.0,0.94,148625
Felicity_PWM_12V_60A_1467,Felicity,PWM,12.0,60.0,0.94,48160
Xtra Power_MPPT_150V_90A_1468,Xtra Power,MPPT,150.0,90.0,0.94,91176
Epever_PWM_48V_80A_1469,Epever,PWM,48.0,80.0,0.92,106608
Techfine_PWM_24V_25A_1470,Techfine,PWM,24.0,25.0,0.95,91059
Techfine_MPPT_12V_75A_1471,Techfine,MPPT,12.0,75.0,0.92,137619
Xtra Power_PWM_48V_55A_1472,Xtra Power,PWM,48.0,55.0,0.94,98234
Techfine_MPPT_60V_50A_1473,Techfine,MPPT,60.0,50.0,0.95,92224
Must_MPPT_60V_85A_1474,Must,MPPT,60.0,85.0,0.93,24834
Felicity_PWM_48V_90A_1475,Felicity,PWM,48.0,90.0,0.92,37451
Growatt_PWM_60V_35A_1476,Growatt,PWM,60.0,35.0,0.92,65887
SRNE_PWM_24V_95A_1477,SRNE,PWM,24.0,95.0,0.92,40568
Felicity_MPPT_48V_35A_1478,Felicity,MPPT,48.0,35.0,0.94,56771
Felicity_MPPT_36V_40A_1479,Felicity,MPPT,36.0,40.0,0.93,37850
Anern_PWM_24V_15A_1480,Anern,PWM,24.0,15.0,0.93,110044
SRNE_PWM_12V_10A_1481,SRNE,PWM,12.0,10.0,0.94,26164
Souer_PWM_36V_25A_1482,Souer,PWM,36.0,25.0,0.94,225995
Growatt_PWM_24V_80A_1483,Growatt,PWM,24.0,80.0,0.93,33694
Anern_PWM_48V_95A_1484,Anern,PWM,48.0,95.0,0.94,83656
Growatt_PWM_12V_95A_1485,Growatt,PWM,12.0,95.0,0.93,51375
Xtra Power_MPPT_150V_45A_1486,Xtra Power,MPPT,150.0,45.0,0.92,94434
Growatt_MPPT_60V_55A_1487,Growatt,MPPT,60.0,55.0,0.93,29601
SRNE_PWM_24V_70A_1488,SRNE,PWM,24.0,70.0,0.91,44443
Growatt_PWM_48V_60A_1489,Growatt,PWM,48.0,60.0,0.93,56705
Felicity_MPPT_60V_80A_1490,Felicity,MPPT,60.0,80.0,0.93,35904
Techfine_PWM_36V_15A_1491,Techfine,PWM,36.0,15.0,0.95,149936
Must_PWM_36V_55A_1492,Must,PWM,36.0,55.0,0.92,42360
Souer_MPPT_36V_100A_1493,Souer,MPPT,36.0,100.0,0.92,200347
Growatt_MPPT_12V_80A_1494,Growatt,MPPT,12.0,80.0,0.94,48980
Anern_MPPT_12V_10A_1495,Anern,MPPT,12.0,10.0,0.93,98299
SRNE_PWM_24V_25A_1496,SRNE,PWM,24.0,25.0,0.94,62796
Anern_MPPT_150V_65A_1497,Anern,MPPT,150.0,65.0,0.91,117866
Techfine_MPPT_12V_20A_1498,Techfine,MPPT,12.0,20.0,0.91,90346
Anern_PWM_60V_20A_1499,Anern,PWM,60.0,20.0,0.94,97907
Xtra Power_MPPT_60V_90A_1500,Xtra Power,MPPT,60.0,90.0,0.94,135120
Techfine_MPPT_36V_25A_1501,Techfine,MPPT,36.0,25.0,0.93,143690
Xtra Power_MPPT_36V_45A_1502,Xtra Power,MPPT,36.0,45.0,0.95,93023
Must_PWM_36V_10A_1503,Must,PWM,36.0,10.0,0.94,48681
Must_MPPT_100V_85A_1504,Must,MPPT,100.0,85.0,0.93,71623
Anern_MPPT_36V_45A_1505,Anern,MPPT,36.0,45.0,0.94,121078
Felicity_PWM_24V_25A_1506,Felicity,PWM,24.0,25.0,0.91,44002
Souer_MPPT_12V_25A_1507,Souer,MPPT,12.0,25.0,0.94,174968
Growatt_PWM_12V_45A_1508,Growatt,PWM,12.0,45.0,0.93,50775
Schneider Electric_PWM_48V_95A_1509,Schneider Electric,PWM,48.0,95.0,0.93,189378
Growatt_PWM_48V_25A_1510,Growatt,PWM,48.0,25.0,0.95,76037
Epever_MPPT_150V_30A_1511,Epever,MPPT,150.0,30.0,0.94,128917
Techfine_MPPT_12V_30A_1512,Techfine,MPPT,12.0,30.0,0.93,94172
Growatt_MPPT_24V_40A_1513,Growatt,MPPT,24.0,40.0,0.94,25689
Morningstar_PWM_24V_45A_1514,Morningstar,PWM,24.0,45.0,0.95,233244
Epever_MPPT_24V_30A_1515,Epever,MPPT,24.0,30.0,0.92,113526
Must_MPPT_36V_60A_1516,Must,MPPT,36.0,60.0,0.94,40005
Techfine_MPPT_12V_25A_1517,Techfine,MPPT,12.0,25.0,0.93,132710
Souer_MPPT_36V_20A_1518,Souer,MPPT,36.0,20.0,0.94,220530
Felicity_MPPT_60V_20A_1519,Felicity,MPPT,60.0,20.0,0.94,74069
Epever_PWM_36V_25A_1520,Epever,PWM,36.0,25.0,0.94,107045
Felicity_PWM_24V_35A_1521,Felicity,PWM,24.0,35.0,0.92,43801
Must_MPPT_100V_45A_1522,Must,MPPT,100.0,45.0,0.91,24430
Techfine_MPPT_12V_25A_1523,Techfine,MPPT,12.0,25.0,0.94,87963
Growatt_MPPT_48V_30A_1524,Growatt,MPPT,48.0,30.0,0.92,52397
Felicity_PWM_36V_10A_1525,Felicity,PWM,36.0,10.0,0.92,70733
SRNE_PWM_36V_50A_1526,SRNE,PWM,36.0,50.0,0.94,48235
Morningstar_PWM_60V_70A_1527,Morningstar,PWM,60.0,70.0,0.92,165577
Epever_PWM_12V_45A_1528,Epever,PWM,12.0,45.0,0.94,115668
Must_MPPT_36V_70A_1529,Must,MPPT,36.0,70.0,0.92,63524
Anern_PWM_12V_65A_1530,Anern,PWM,12.0,65.0,0.94,89058
Anern_PWM_24V_35A_1531,Anern,PWM,24.0,35.0,0.91,125252
Techfine_PWM_12V_50A_1532,Techfine,PWM,12.0,50.0,0.92,98293
SRNE_MPPT_12V_35A_1533,SRNE,MPPT,12.0,35.0,0.93,65481
SRNE_PWM_48V_85A_1534,SRNE,PWM,48.0,85.0,0.95,35572
Growatt_PWM_60V_15A_1535,Growatt,PWM,60.0,15.0,0.93,79542
Techfine_MPPT_150V_45A_1536,Techfine,MPPT,150.0,45.0,0.93,88074
Growatt_MPPT_60V_55A_1537,Growatt,MPPT,60.0,55.0,0.95,57062
Xtra Power_MPPT_24V_65A_1538,Xtra Power,MPPT,24.0,65.0,0.91,148409
Anern_MPPT_48V_10A_1539,Anern,MPPT,48.0,10.0,0.92,91384
Growatt_PWM_48V_50A_1540,Growatt,PWM,48.0,50.0,0.95,44810
Epever_PWM_36V_60A_1541,Epever,PWM,36.0,60.0,0.95,148803
SRNE_MPPT_12V_25A_1542,SRNE,MPPT,12.0,25.0,0.93,20144
SRNE_PWM_60V_80A_1543,SRNE,PWM,60.0,80.0,0.92,29877
Growatt_MPPT_100V_25A_1544,Growatt,MPPT,100.0,25.0,0.93,51531
Must_PWM_24V_90A_1545,Must,PWM,24.0,90.0,0.94,36854
Xtra Power_PWM_24V_40A_1546,Xtra Power,PWM,24.0,40.0,0.93,133009
Must_MPPT_150V_35A_1547,Must,MPPT,150.0,35.0,0.93,69707
Xtra Power_MPPT_100V_25A_1548,Xtra Power,MPPT,100.0,25.0,0.94,110472
Schneider Electric_MPPT_24V_40A_1549,Schneider Electric,MPPT,24.0,40.0,0.92,239334
