panel_id,brand,panel_type,rated_power_w,voltage,derating_factor,cabling_loss,safety_factor,length_m,width_m,area_m2,price_NGN
Vsun Solar_300W_Polycrystalline_648,Vsun Solar,Polycrystalline,300.0,12.0,0.81,0.04,0.12,1.69,0.97,1.64,82043
Canadian Solar_490W_Polycrystalline_649,Canadian Solar,Polycrystalline,490.0,24.0,0.8,0.04,0.09,2.02,1.0,2.02,172293
Trina Solar_80W_Bifacial_650,Trina Solar,Bifacial,80.0,36.0,0.8,0.05,0.11,1.29,0.68,0.88,26344
Mercury_100W_Half-Cut_651,Mercury,Half-Cut,100.0,36.0,0.81,0.04,0.08,1.24,0.67,0.83,19769
Canadian Solar_510W_Monocrystalline_652,Canadian Solar,Monocrystalline,510.0,24.0,0.78,0.05,0.12,2.04,1.0,2.04,201481
Mercury_530W_Half-Cut_653,Mercury,Half-Cut,530.0,48.0,0.79,0.05,0.1,2.02,1.0,2.02,127282
Sukam_350W_Half-Cut_654,Sukam,Half-Cut,350.0,12.0,0.8,0.04,0.09,1.67,0.94,1.57,51204
LONGi Solar_600W_Monocrystalline_655,LONGi Solar,Monocrystalline,600.0,24.0,0.79,0.06,0.08,2.01,1.0,2.01,194561
Jinko Solar_240W_Bifacial_656,Jinko Solar,Bifacial,240.0,12.0,0.8,0.04,0.11,1.57,0.82,1.29,59585
Must_290W_Half-Cut_657,Must,Half-Cut,290.0,36.0,0.8,0.05,0.12,1.67,0.93,1.55,68869
Vsun Solar_500W_Monocrystalline_658,Vsun Solar,Monocrystalline,500.0,12.0,0.81,0.05,0.11,2.0,1.0,2.0,157829
Sukam_600W_Monocrystalline_659,Sukam,Monocrystalline,600.0,48.0,0.82,0.05,0.11,2.01,1.0,2.01,104263
JA Solar_320W_Bifacial_660,JA Solar,Bifacial,320.0,24.0,0.81,0.04,0.11,1.69,0.97,1.64,143757
Vsun Solar_470W_Polycrystalline_661,Vsun Solar,Polycrystalline,470.0,36.0,0.8,0.05,0.1,2.02,1.0,2.02,115240
Sukam_500W_Half-Cut_662,Sukam,Half-Cut,500.0,48.0,0.79,0.04,0.11,2.04,1.0,2.04,103266
Prag_140W_Monocrystalline_663,Prag,Monocrystalline,140.0,36.0,0.82,0.05,0.09,1.13,0.52,0.59,31950
Suntech_230W_Half-Cut_664,Suntech,Half-Cut,230.0,24.0,0.78,0.06,0.11,1.53,0.88,1.35,102050
Jinko Solar_460W_Half-Cut_665,Jinko Solar,Half-Cut,460.0,36.0,0.81,0.04,0.1,2.04,1.0,2.04,151151
Vsun Solar_430W_Polycrystalline_666,Vsun Solar,Polycrystalline,430.0,24.0,0.78,0.04,0.08,1.94,1.0,1.94,133714
Must_240W_Monocrystalline_667,Must,Monocrystalline,240.0,36.0,0.79,0.05,0.09,1.58,0.94,1.49,32792
Prag_460W_Half-Cut_668,Prag,Half-Cut,460.0,12.0,0.81,0.05,0.09,2.03,1.0,2.03,113528
Must_350W_Half-Cut_669,Must,Half-Cut,350.0,24.0,0.81,0.04,0.1,1.64,0.93,1.53,69402
Renogy_120W_Bifacial_670,Renogy,Bifacial,120.0,24.0,0.79,0.04,0.11,1.16,0.65,0.75,48132
Vsun Solar_550W_Monocrystalline_671,Vsun Solar,Monocrystalline,550.0,24.0,0.79,0.06,0.08,2.04,1.0,2.04,164758
Felicity_450W_Bifacial_672,Felicity,Bifacial,450.0,36.0,0.81,0.04,0.11,1.81,1.0,1.81,76659
Mercury_170W_Bifacial_673,Mercury,Bifacial,170.0,36.0,0.8,0.05,0.12,1.51,0.84,1.27,35909
Must_320W_Half-Cut_674,Must,Half-Cut,320.0,24.0,0.8,0.04,0.11,1.65,0.96,1.58,68602
Vsun Solar_530W_Bifacial_675,Vsun Solar,Bifacial,530.0,36.0,0.79,0.05,0.1,2.03,1.0,2.03,124643
Mercury_470W_Monocrystalline_676,Mercury,Monocrystalline,470.0,48.0,0.81,0.05,0.11,2.01,1.0,2.01,103608
Vsun Solar_590W_Monocrystalline_677,Vsun Solar,Monocrystalline,590.0,36.0,0.81,0.06,0.08,2.03,1.0,2.03,185051
Mercury_140W_Monocrystalline_678,Mercury,Monocrystalline,140.0,36.0,0.81,0.05,0.11,1.18,0.69,0.81,30080
LONGi Solar_190W_Half-Cut_679,LONGi Solar,Half-Cut,190.0,24.0,0.81,0.05,0.11,1.58,0.9,1.42,80509
Must_540W_Half-Cut_680,Must,Half-Cut,540.0,24.0,0.78,0.06,0.08,2.01,1.0,2.01,98669
Mercury_400W_Half-Cut_681,Mercury,Half-Cut,400.0,48.0,0.8,0.05,0.09,1.73,1.0,1.73,80558
Suntech_260W_Half-Cut_682,Suntech,Half-Cut,260.0,24.0,0.82,0.05,0.09,1.62,0.97,1.57,104674
Jinko Solar_350W_Half-Cut_683,Jinko Solar,Half-Cut,350.0,24.0,0.79,0.05,0.1,1.69,0.99,1.67,96233
Jinko Solar_480W_Monocrystalline_684,Jinko Solar,Monocrystalline,480.0,12.0,0.82,0.05,0.1,2.04,1.0,2.04,146011
Auxano Solar_140W_Polycrystalline_685,Auxano Solar,Polycrystalline,140.0,12.0,0.8,0.05,0.1,1.19,0.5,0.59,32663
Auxano Solar_420W_Polycrystalline_686,Auxano Solar,Polycrystalline,420.0,12.0,0.78,0.05,0.09,1.87,1.0,1.87,142630
JA Solar_510W_Monocrystalline_687,JA Solar,Monocrystalline,510.0,12.0,0.8,0.06,0.09,2.05,1.0,2.05,191901
Mercury_220W_Half-Cut_688,Mercury,Half-Cut,220.0,12.0,0.81,0.06,0.1,1.59,0.84,1.34,49579
Renogy_390W_Bifacial_689,Renogy,Bifacial,390.0,12.0,0.8,0.06,0.1,1.86,1.0,1.86,144032
Suntech_560W_Bifacial_690,Suntech,Bifacial,560.0,48.0,0.81,0.05,0.09,2.03,1.0,2.03,188765
LONGi Solar_260W_Half-Cut_691,LONGi Solar,Half-Cut,260.0,12.0,0.8,0.06,0.12,1.61,0.94,1.51,84612
Sukam_410W_Polycrystalline_692,Sukam,Polycrystalline,410.0,12.0,0.81,0.05,0.1,1.81,1.0,1.81,70218
Vsun Solar_90W_Bifacial_693,Vsun Solar,Bifacial,90.0,36.0,0.8,0.05,0.1,1.21,0.61,0.74,25393
Trina Solar_390W_Polycrystalline_694,Trina Solar,Polycrystalline,390.0,48.0,0.82,0.05,0.09,1.75,1.0,1.75,119395
Jinko Solar_280W_Polycrystalline_695,Jinko Solar,Polycrystalline,280.0,36.0,0.81,0.04,0.09,1.67,0.91,1.52,63040
Prag_190W_Bifacial_696,Prag,Bifacial,190.0,24.0,0.81,0.05,0.1,1.51,0.86,1.3,46633
Mercury_50W_Bifacial_697,Mercury,Bifacial,50.0,36.0,0.82,0.05,0.09,1.03,0.56,0.58,9371
Auxano Solar_480W_Monocrystalline_698,Auxano Solar,Monocrystalline,480.0,12.0,0.79,0.04,0.11,2.03,1.0,2.03,149276
Prag_500W_Bifacial_699,Prag,Bifacial,500.0,12.0,0.82,0.04,0.11,2.05,1.0,2.05,82383
Vsun Solar_400W_Monocrystalline_700,Vsun Solar,Monocrystalline,400.0,48.0,0.78,0.06,0.08,1.73,0.99,1.71,115604
Auxano Solar_170W_Polycrystalline_701,Auxano Solar,Polycrystalline,170.0,48.0,0.81,0.06,0.09,1.58,0.93,1.47,46763
Felicity_460W_Monocrystalline_702,Felicity,Monocrystalline,460.0,48.0,0.79,0.05,0.11,2.03,1.0,2.03,102329
Auxano Solar_370W_Polycrystalline_703,Auxano Solar,Polycrystalline,370.0,24.0,0.78,0.06,0.12,1.75,0.99,1.73,127041
Auxano Solar_200W_Polycrystalline_704,Auxano Solar,Polycrystalline,200.0,36.0,0.78,0.05,0.11,1.55,0.85,1.32,47451
Vsun Solar_240W_Monocrystalline_705,Vsun Solar,Monocrystalline,240.0,24.0,0.81,0.05,0.11,1.53,0.9,1.38,55419
JA Solar_240W_Monocrystalline_706,JA Solar,Monocrystalline,240.0,48.0,0.78,0.06,0.1,1.53,0.85,1.3,87453
Mercury_310W_Bifacial_707,Mercury,Bifacial,310.0,24.0,0.78,0.05,0.11,1.61,0.95,1.53,61144
Sukam_360W_Bifacial_708,Sukam,Bifacial,360.0,24.0,0.79,0.05,0.08,1.73,1.0,1.73,82745
Auxano Solar_310W_Monocrystalline_709,Auxano Solar,Monocrystalline,310.0,24.0,0.8,0.06,0.09,1.63,0.96,1.56,92453
Mercury_390W_Monocrystalline_710,Mercury,Monocrystalline,390.0,12.0,0.82,0.05,0.09,1.89,1.0,1.89,84463
Jinko Solar_600W_Bifacial_711,Jinko Solar,Bifacial,600.0,36.0,0.8,0.04,0.11,2.03,1.0,2.03,154801
LONGi Solar_430W_Monocrystalline_712,LONGi Solar,Monocrystalline,430.0,48.0,0.79,0.05,0.1,1.77,0.99,1.75,177381
Jinko Solar_90W_Half-Cut_713,Jinko Solar,Half-Cut,90.0,36.0,0.8,0.05,0.11,1.11,0.65,0.72,27506
Prag_120W_Half-Cut_714,Prag,Half-Cut,120.0,24.0,0.79,0.05,0.1,1.16,0.54,0.63,22822
Prag_280W_Bifacial_715,Prag,Bifacial,280.0,36.0,0.8,0.05,0.09,1.67,0.99,1.65,40642
Auxano Solar_150W_Polycrystalline_716,Auxano Solar,Polycrystalline,150.0,48.0,0.8,0.05,0.1,1.08,0.52,0.56,42622
Trina Solar_510W_Polycrystalline_717,Trina Solar,Polycrystalline,510.0,24.0,0.8,0.04,0.1,2.04,1.0,2.04,158407
JA Solar_130W_Polycrystalline_718,JA Solar,Polycrystalline,130.0,12.0,0.79,0.05,0.11,1.14,0.66,0.75,48250
Canadian Solar_60W_Bifacial_719,Canadian Solar,Bifacial,60.0,24.0,0.8,0.05,0.08,1.1,0.69,0.76,19440
Trina Solar_330W_Polycrystalline_720,Trina Solar,Polycrystalline,330.0,48.0,0.79,0.06,0.12,1.61,0.96,1.55,91298
Auxano Solar_440W_Bifacial_721,Auxano Solar,Bifacial,440.0,36.0,0.79,0.04,0.09,1.83,1.0,1.83,117490
Jinko Solar_290W_Bifacial_722,Jinko Solar,Bifacial,290.0,36.0,0.79,0.05,0.12,1.6,0.95,1.52,96055
Felicity_280W_Half-Cut_723,Felicity,Half-Cut,280.0,48.0,0.81,0.04,0.09,1.66,0.93,1.54,46759
Auxano Solar_160W_Polycrystalline_724,Auxano Solar,Polycrystalline,160.0,24.0,0.8,0.04,0.11,1.56,0.9,1.4,51480
Vsun Solar_570W_Monocrystalline_725,Vsun Solar,Monocrystalline,570.0,36.0,0.81,0.05,0.08,2.03,1.0,2.03,162256
Trina Solar_260W_Half-Cut_726,Trina Solar,Half-Cut,260.0,48.0,0.82,0.06,0.08,1.6,0.94,1.5,75939
Jinko Solar_160W_Monocrystalline_727,Jinko Solar,Monocrystalline,160.0,12.0,0.81,0.06,0.12,1.58,0.83,1.31,37770
Jinko Solar_360W_Half-Cut_728,Jinko Solar,Half-Cut,360.0,12.0,0.82,0.06,0.1,1.85,0.99,1.83,91194
Sukam_380W_Polycrystalline_729,Sukam,Polycrystalline,380.0,36.0,0.78,0.04,0.09,1.83,1.0,1.83,83952
Trina Solar_260W_Half-Cut_730,Trina Solar,Half-Cut,260.0,36.0,0.79,0.05,0.08,1.62,0.95,1.54,79524
Sukam_420W_Bifacial_731,Sukam,Bifacial,420.0,12.0,0.82,0.05,0.11,1.91,1.0,1.91,95479
JA Solar_450W_Polycrystalline_732,JA Solar,Polycrystalline,450.0,48.0,0.79,0.04,0.1,1.78,0.99,1.76,143974
Jinko Solar_320W_Polycrystalline_733,Jinko Solar,Polycrystalline,320.0,36.0,0.82,0.06,0.08,1.61,0.97,1.56,95880
Auxano Solar_180W_Bifacial_734,Auxano Solar,Bifacial,180.0,36.0,0.81,0.05,0.09,1.52,0.83,1.26,56148
Auxano Solar_250W_Monocrystalline_735,Auxano Solar,Monocrystalline,250.0,48.0,0.79,0.06,0.1,1.59,0.98,1.56,67604
Trina Solar_230W_Polycrystalline_736,Trina Solar,Polycrystalline,230.0,48.0,0.8,0.06,0.09,1.53,0.82,1.25,53788
Mercury_360W_Bifacial_737,Mercury,Bifacial,360.0,36.0,0.81,0.06,0.12,1.89,0.99,1.87,86583
Canadian Solar_280W_Polycrystalline_738,Canadian Solar,Polycrystalline,280.0,36.0,0.81,0.04,0.12,1.67,0.95,1.59,88434
LONGi Solar_520W_Bifacial_739,LONGi Solar,Bifacial,520.0,48.0,0.8,0.05,0.08,2.05,1.0,2.05,224883
Auxano Solar_560W_Bifacial_740,Auxano Solar,Bifacial,560.0,36.0,0.82,0.05,0.09,2.02,1.0,2.02,185669
Renogy_520W_Monocrystalline_741,Renogy,Monocrystalline,520.0,36.0,0.79,0.05,0.1,2.02,1.0,2.02,227898
Canadian Solar_250W_Monocrystalline_742,Canadian Solar,Monocrystalline,250.0,48.0,0.81,0.05,0.09,1.53,0.91,1.39,94500
Mercury_200W_Polycrystalline_743,Mercury,Polycrystalline,200.0,48.0,0.82,0.05,0.09,1.53,0.97,1.48,34314
Jinko Solar_310W_Half-Cut_744,Jinko Solar,Half-Cut,310.0,36.0,0.82,0.05,0.11,1.6,0.95,1.52,76027
Prag_320W_Polycrystalline_745,Prag,Polycrystalline,320.0,48.0,0.78,0.06,0.1,1.68,0.99,1.66,60411
Trina Solar_490W_Polycrystalline_746,Trina Solar,Polycrystalline,490.0,24.0,0.8,0.04,0.11,2.02,1.0,2.02,154242
Prag_140W_Half-Cut_747,Prag,Half-Cut,140.0,36.0,0.82,0.05,0.11,1.17,0.55,0.64,24153
Felicity_280W_Polycrystalline_748,Felicity,Polycrystalline,280.0,36.0,0.8,0.04,0.12,1.7,0.95,1.61,61150
Renogy_600W_Half-Cut_749,Renogy,Half-Cut,600.0,12.0,0.79,0.06,0.09,2.01,1.0,2.01,243122
Auxano Solar_400W_Monocrystalline_750,Auxano Solar,Monocrystalline,400.0,12.0,0.82,0.05,0.1,1.82,1.0,1.82,125878
Must_50W_Bifacial_751,Must,Bifacial,50.0,48.0,0.82,0.06,0.11,1.22,0.58,0.71,9109
Auxano Solar_270W_Polycrystalline_752,Auxano Solar,Polycrystalline,270.0,24.0,0.81,0.05,0.09,1.65,0.94,1.55,63365
Felicity_180W_Bifacial_753,Felicity,Bifacial,180.0,48.0,0.8,0.04,0.11,1.53,0.96,1.47,36985
Felicity_570W_Polycrystalline_754,Felicity,Polycrystalline,570.0,36.0,0.8,0.05,0.12,2.01,1.0,2.01,110041
Renogy_380W_Polycrystalline_755,Renogy,Polycrystalline,380.0,48.0,0.8,0.06,0.11,1.8,1.0,1.8,167983
Must_370W_Bifacial_756,Must,Bifacial,370.0,36.0,0.79,0.06,0.08,1.88,0.99,1.86,69953
Trina Solar_100W_Monocrystalline_757,Trina Solar,Monocrystalline,100.0,48.0,0.8,0.05,0.11,1.06,0.58,0.61,30899
Vsun Solar_380W_Polycrystalline_758,Vsun Solar,Polycrystalline,380.0,24.0,0.81,0.05,0.11,1.85,0.99,1.83,113932
LONGi Solar_370W_Bifacial_759,LONGi Solar,Bifacial,370.0,12.0,0.82,0.04,0.09,1.75,0.99,1.73,138685
Auxano Solar_220W_Polycrystalline_760,Auxano Solar,Polycrystalline,220.0,24.0,0.81,0.05,0.09,1.58,0.87,1.37,60976
Mercury_90W_Half-Cut_761,Mercury,Half-Cut,90.0,24.0,0.82,0.04,0.08,1.26,0.52,0.66,14824
Sukam_140W_Polycrystalline_762,Sukam,Polycrystalline,140.0,36.0,0.8,0.04,0.09,1.06,0.52,0.55,21458
Trina Solar_230W_Polycrystalline_763,Trina Solar,Polycrystalline,230.0,48.0,0.8,0.05,0.08,1.6,0.81,1.3,60921
Suntech_520W_Half-Cut_764,Suntech,Half-Cut,520.0,24.0,0.82,0.06,0.1,2.01,1.0,2.01,197280
Trina Solar_500W_Polycrystalline_765,Trina Solar,Polycrystalline,500.0,12.0,0.82,0.04,0.08,2.04,1.0,2.04,131946
Renogy_200W_Bifacial_766,Renogy,Bifacial,200.0,12.0,0.79,0.04,0.08,1.54,0.84,1.29,77325
Sukam_490W_Polycrystalline_767,Sukam,Polycrystalline,490.0,12.0,0.78,0.05,0.12,2.01,1.0,2.01,112053
Jinko Solar_170W_Monocrystalline_768,Jinko Solar,Monocrystalline,170.0,48.0,0.78,0.05,0.1,1.58,0.82,1.3,44631
Suntech_110W_Bifacial_769,Suntech,Bifacial,110.0,36.0,0.82,0.05,0.1,1.13,0.68,0.77,35297
Sukam_130W_Monocrystalline_770,Sukam,Monocrystalline,130.0,24.0,0.82,0.04,0.11,1.12,0.53,0.59,30981
Must_140W_Half-Cut_771,Must,Half-Cut,140.0,12.0,0.79,0.04,0.09,1.06,0.56,0.59,21821
Must_560W_Polycrystalline_772,Must,Polycrystalline,560.0,24.0,0.8,0.05,0.08,2.03,1.0,2.03,138064
Jinko Solar_380W_Half-Cut_773,Jinko Solar,Half-Cut,380.0,48.0,0.78,0.05,0.1,1.89,1.0,1.89,91366
Vsun Solar_340W_Bifacial_774,Vsun Solar,Bifacial,340.0,48.0,0.81,0.04,0.1,1.63,0.91,1.48,104703
Mercury_50W_Half-Cut_775,Mercury,Half-Cut,50.0,24.0,0.79,0.05,0.12,1.01,0.5,0.51,8814
Vsun Solar_170W_Bifacial_776,Vsun Solar,Bifacial,170.0,12.0,0.79,0.06,0.11,1.55,0.99,1.53,57157
Felicity_250W_Bifacial_777,Felicity,Bifacial,250.0,24.0,0.82,0.05,0.12,1.53,0.9,1.38,34847
Must_100W_Bifacial_778,Must,Bifacial,100.0,48.0,0.8,0.05,0.08,1.0,0.67,0.67,13968
Auxano Solar_300W_Monocrystalline_779,Auxano Solar,Monocrystalline,300.0,48.0,0.81,0.05,0.09,1.65,0.99,1.63,68232
Must_530W_Bifacial_780,Must,Bifacial,530.0,48.0,0.79,0.06,0.09,2.0,1.0,2.0,111640
Auxano Solar_100W_Bifacial_781,Auxano Solar,Bifacial,100.0,24.0,0.79,0.04,0.12,1.27,0.59,0.75,25628
Sukam_290W_Polycrystalline_782,Sukam,Polycrystalline,290.0,36.0,0.82,0.04,0.1,1.63,0.95,1.55,46603
JA Solar_270W_Monocrystalline_783,JA Solar,Monocrystalline,270.0,48.0,0.81,0.06,0.12,1.65,0.96,1.58,95849
Jinko Solar_400W_Bifacial_784,Jinko Solar,Bifacial,400.0,48.0,0.81,0.05,0.09,1.77,1.0,1.77,139366
Vsun Solar_290W_Half-Cut_785,Vsun Solar,Half-Cut,290.0,24.0,0.79,0.05,0.08,1.66,0.92,1.53,65302
Must_450W_Bifacial_786,Must,Bifacial,450.0,12.0,0.81,0.04,0.1,1.92,1.0,1.92,108732
Prag_590W_Bifacial_787,Prag,Bifacial,590.0,36.0,0.8,0.05,0.08,2.04,1.0,2.04,86257
Jinko Solar_410W_Polycrystalline_788,Jinko Solar,Polycrystalline,410.0,24.0,0.79,0.04,0.11,1.83,0.99,1.81,135250
Trina Solar_510W_Polycrystalline_789,Trina Solar,Polycrystalline,510.0,36.0,0.79,0.05,0.11,2.03,1.0,2.03,159440
Prag_350W_Polycrystalline_790,Prag,Polycrystalline,350.0,12.0,0.78,0.05,0.11,1.62,0.92,1.49,48068
Vsun Solar_130W_Half-Cut_791,Vsun Solar,Half-Cut,130.0,36.0,0.81,0.04,0.11,1.1,0.61,0.67,32254
Felicity_350W_Monocrystalline_792,Felicity,Monocrystalline,350.0,48.0,0.8,0.05,0.12,1.61,0.96,1.55,85381
LONGi Solar_310W_Half-Cut_793,LONGi Solar,Half-Cut,310.0,12.0,0.78,0.05,0.1,1.66,0.93,1.54,134116
Renogy_310W_Polycrystalline_794,Renogy,Polycrystalline,310.0,48.0,0.79,0.06,0.12,1.64,1.0,1.64,134354
Must_80W_Monocrystalline_795,Must,Monocrystalline,80.0,24.0,0.79,0.05,0.1,1.29,0.56,0.72,10940
Prag_320W_Polycrystalline_796,Prag,Polycrystalline,320.0,48.0,0.82,0.05,0.1,1.65,0.91,1.5,55890
Mercury_110W_Bifacial_797,Mercury,Bifacial,110.0,24.0,0.79,0.05,0.1,1.11,0.56,0.62,24501
Suntech_450W_Bifacial_798,Suntech,Bifacial,450.0,12.0,0.82,0.05,0.1,1.75,1.0,1.75,169940
LONGi Solar_110W_Monocrystalline_799,LONGi Solar,Monocrystalline,110.0,24.0,0.78,0.05,0.08,1.27,0.53,0.67,40233
Felicity_150W_Polycrystalline_800,Felicity,Polycrystalline,150.0,12.0,0.81,0.05,0.12,1.22,0.64,0.78,22389
Suntech_80W_Polycrystalline_801,Suntech,Polycrystalline,80.0,36.0,0.82,0.05,0.11,1.06,0.57,0.6,31072
Jinko Solar_510W_Half-Cut_802,Jinko Solar,Half-Cut,510.0,36.0,0.82,0.05,0.11,2.04,1.0,2.04,162452
Prag_110W_Polycrystalline_803,Prag,Polycrystalline,110.0,48.0,0.79,0.06,0.08,1.27,0.67,0.85,26163
Felicity_510W_Polycrystalline_804,Felicity,Polycrystalline,510.0,48.0,0.8,0.06,0.09,2.0,1.0,2.0,105818
Vsun Solar_450W_Half-Cut_805,Vsun Solar,Half-Cut,450.0,12.0,0.81,0.05,0.09,1.93,0.99,1.91,136139
Jinko Solar_360W_Monocrystalline_806,Jinko Solar,Monocrystalline,360.0,24.0,0.81,0.05,0.12,1.9,1.0,1.9,121293
JA Solar_600W_Monocrystalline_807,JA Solar,Monocrystalline,600.0,12.0,0.8,0.05,0.1,2.03,1.0,2.03,245056
Mercury_270W_Half-Cut_808,Mercury,Half-Cut,270.0,36.0,0.81,0.05,0.09,1.61,0.93,1.5,42010
Jinko Solar_90W_Half-Cut_809,Jinko Solar,Half-Cut,90.0,12.0,0.79,0.05,0.09,1.29,0.53,0.68,21502
Must_420W_Polycrystalline_810,Must,Polycrystalline,420.0,36.0,0.82,0.04,0.09,1.9,1.0,1.9,62918
Vsun Solar_410W_Bifacial_811,Vsun Solar,Bifacial,410.0,48.0,0.8,0.04,0.11,1.75,1.0,1.75,127056
Mercury_100W_Bifacial_812,Mercury,Bifacial,100.0,12.0,0.8,0.04,0.11,1.05,0.53,0.56,19533
Jinko Solar_400W_Bifacial_813,Jinko Solar,Bifacial,400.0,48.0,0.8,0.05,0.08,1.91,1.0,1.91,136051
Auxano Solar_390W_Half-Cut_814,Auxano Solar,Half-Cut,390.0,36.0,0.79,0.05,0.09,1.81,1.0,1.81,89422
Vsun Solar_100W_Polycrystalline_815,Vsun Solar,Polycrystalline,100.0,24.0,0.79,0.04,0.09,1.0,0.62,0.62,33331
Trina Solar_80W_Bifacial_816,Trina Solar,Bifacial,80.0,24.0,0.81,0.06,0.09,1.15,0.59,0.68,26810
Trina Solar_360W_Monocrystalline_817,Trina Solar,Monocrystalline,360.0,48.0,0.79,0.05,0.11,1.85,1.0,1.85,96933
Vsun Solar_200W_Monocrystalline_818,Vsun Solar,Monocrystalline,200.0,48.0,0.79,0.05,0.1,1.57,0.9,1.41,57067
Mercury_210W_Bifacial_819,Mercury,Bifacial,210.0,24.0,0.78,0.05,0.09,1.55,0.96,1.49,34965
Must_330W_Monocrystalline_820,Must,Monocrystalline,330.0,48.0,0.79,0.06,0.1,1.67,0.91,1.52,45168
Vsun Solar_60W_Polycrystalline_821,Vsun Solar,Polycrystalline,60.0,12.0,0.78,0.05,0.1,1.17,0.67,0.78,15901
Renogy_160W_Bifacial_822,Renogy,Bifacial,160.0,12.0,0.78,0.06,0.09,1.52,0.96,1.46,55979
Vsun Solar_540W_Bifacial_823,Vsun Solar,Bifacial,540.0,48.0,0.81,0.05,0.12,2.0,1.0,2.0,186669
Must_140W_Monocrystalline_824,Must,Monocrystalline,140.0,48.0,0.8,0.05,0.12,1.26,0.69,0.87,32988
Jinko Solar_450W_Polycrystalline_825,Jinko Solar,Polycrystalline,450.0,12.0,0.79,0.06,0.12,1.8,0.99,1.78,151366
Auxano Solar_560W_Bifacial_826,Auxano Solar,Bifacial,560.0,48.0,0.79,0.05,0.08,2.01,1.0,2.01,130146
Vsun Solar_280W_Polycrystalline_827,Vsun Solar,Polycrystalline,280.0,24.0,0.78,0.04,0.09,1.66,0.92,1.53,97548
Vsun Solar_50W_Bifacial_828,Vsun Solar,Bifacial,50.0,48.0,0.8,0.04,0.12,1.2,0.59,0.71,13307
Sukam_590W_Polycrystalline_829,Sukam,Polycrystalline,590.0,36.0,0.79,0.05,0.08,2.02,1.0,2.02,107201
Mercury_510W_Bifacial_830,Mercury,Bifacial,510.0,36.0,0.82,0.06,0.1,2.01,1.0,2.01,119732
JA Solar_250W_Polycrystalline_831,JA Solar,Polycrystalline,250.0,24.0,0.79,0.05,0.09,1.57,0.95,1.49,102339
Jinko Solar_80W_Bifacial_832,Jinko Solar,Bifacial,80.0,36.0,0.81,0.04,0.09,1.11,0.62,0.69,22918
Mercury_150W_Polycrystalline_833,Mercury,Polycrystalline,150.0,48.0,0.79,0.05,0.09,1.22,0.53,0.65,35722
Auxano Solar_300W_Half-Cut_834,Auxano Solar,Half-Cut,300.0,12.0,0.79,0.05,0.08,1.7,0.93,1.58,93932
Felicity_240W_Monocrystalline_835,Felicity,Monocrystalline,240.0,12.0,0.8,0.04,0.09,1.51,0.96,1.45,50059
LONGi Solar_260W_Monocrystalline_836,LONGi Solar,Monocrystalline,260.0,36.0,0.81,0.04,0.09,1.61,0.94,1.51,93892
Jinko Solar_540W_Bifacial_837,Jinko Solar,Bifacial,540.0,12.0,0.8,0.06,0.1,2.0,1.0,2.0,181887
Renogy_240W_Bifacial_838,Renogy,Bifacial,240.0,24.0,0.78,0.04,0.08,1.55,0.89,1.38,99439
Vsun Solar_560W_Polycrystalline_839,Vsun Solar,Polycrystalline,560.0,48.0,0.81,0.04,0.1,2.02,1.0,2.02,170194
JA Solar_320W_Polycrystalline_840,JA Solar,Polycrystalline,320.0,36.0,0.81,0.05,0.09,1.65,0.93,1.53,116468
Auxano Solar_300W_Polycrystalline_841,Auxano Solar,Polycrystalline,300.0,24.0,0.79,0.06,0.1,1.6,0.96,1.54,90070
Sukam_450W_Monocrystalline_842,Sukam,Monocrystalline,450.0,12.0,0.79,0.05,0.11,1.81,1.0,1.81,63645
Jinko Solar_170W_Monocrystalline_843,Jinko Solar,Monocrystalline,170.0,36.0,0.82,0.05,0.11,1.6,0.81,1.3,56149
Auxano Solar_170W_Polycrystalline_844,Auxano Solar,Polycrystalline,170.0,24.0,0.8,0.04,0.11,1.54,0.98,1.51,55487
Renogy_540W_Half-Cut_845,Renogy,Half-Cut,540.0,36.0,0.81,0.05,0.12,2.05,1.0,2.05,203723
Mercury_270W_Polycrystalline_846,Mercury,Polycrystalline,270.0,24.0,0.78,0.05,0.1,1.62,0.9,1.46,67412
Prag_560W_Monocrystalline_847,Prag,Monocrystalline,560.0,12.0,0.81,0.05,0.09,2.04,1.0,2.04,96025
Prag_440W_Polycrystalline_848,Prag,Polycrystalline,440.0,48.0,0.79,0.06,0.11,1.75,0.99,1.73,68343
Mercury_390W_Polycrystalline_849,Mercury,Polycrystalline,390.0,36.0,0.79,0.06,0.08,1.94,0.99,1.92,88258
Auxano Solar_120W_Half-Cut_850,Auxano Solar,Half-Cut,120.0,12.0,0.79,0.05,0.08,1.07,0.65,0.7,27018
Renogy_460W_Monocrystalline_851,Renogy,Monocrystalline,460.0,24.0,0.79,0.06,0.09,2.03,1.0,2.03,194132
Trina Solar_320W_Half-Cut_852,Trina Solar,Half-Cut,320.0,36.0,0.78,0.05,0.11,1.7,0.97,1.65,82241
Felicity_200W_Half-Cut_853,Felicity,Half-Cut,200.0,48.0,0.82,0.05,0.09,1.59,0.87,1.38,37597
Jinko Solar_490W_Bifacial_854,Jinko Solar,Bifacial,490.0,12.0,0.79,0.04,0.1,2.03,1.0,2.03,168808
JA Solar_390W_Monocrystalline_855,JA Solar,Monocrystalline,390.0,12.0,0.81,0.05,0.08,1.83,0.99,1.81,145386
